repeat,alpha,arch,avg_max_regime_frac,angle_vs_pooled_deg,min_client_size
7817,0.2,federated,0.7990933641975309,8.650967621053415,9
7817,0.2,no_personalization,0.7990933641975309,15.817377991565875,9
7817,0.5,federated,0.6700124408385596,9.269992010443659,9
7817,0.5,no_personalization,0.6700124408385596,15.817377990623932,9
7817,1.0,federated,0.5739868580608402,10.46842663716927,14
7817,1.0,no_personalization,0.5739868580608402,13.885581559250488,14
7817,3.0,federated,0.4807762041598249,7.508883110886135,22
7817,3.0,no_personalization,0.4807762041598249,12.148338890223537,22
7817,10.0,federated,0.44451085090619974,12.220813198262473,26
7817,10.0,no_personalization,0.44451085090619974,8.33030353802175,26
7817,100.0,federated,0.36958169518653394,7.768104966100071,31
7817,100.0,no_personalization,0.36958169518653394,14.67971192467783,31
52731,0.2,federated,0.8443592590391115,9.53398206856323,8
52731,0.2,no_personalization,0.8443592590391115,13.88558155874607,8
52731,0.5,federated,0.7582849042104968,10.323813509348959,10
52731,0.5,no_personalization,0.7582849042104968,2.699869328381916e-06,10
52731,1.0,federated,0.5021216719113495,9.14635225038941,23
52731,1.0,no_personalization,0.5021216719113495,13.885581559965418,23
52731,3.0,federated,0.46877647079852963,10.287681556193732,21
52731,3.0,no_personalization,0.46877647079852963,13.885581560569818,21
52731,10.0,federated,0.43153569019318544,9.176252254000351,24
52731,10.0,no_personalization,0.43153569019318544,14.679711924127632,24
52731,100.0,federated,0.3737999447558271,10.065494174826913,33
52731,100.0,no_personalization,0.3737999447558271,14.679711923557525,33
51809,0.2,federated,0.8287720557770063,8.625331511172348,6
51809,0.2,no_personalization,0.8287720557770063,6.780961496641085,6
51809,0.5,federated,0.6123488148487576,10.910699463375366,13
51809,0.5,no_personalization,0.6123488148487576,13.88558155975403,13
51809,1.0,federated,0.5839247211122212,9.558778320696417,8
51809,1.0,no_personalization,0.5839247211122212,12.148338888897804,8
51809,3.0,federated,0.49626902358302116,7.890992765524845,16
51809,3.0,no_personalization,0.49626902358302116,12.148338888718344,16
51809,10.0,federated,0.42965113484818523,9.234205324899408,23
51809,10.0,no_personalization,0.42965113484818523,2.2588727439225506e-06,23
51809,100.0,federated,0.37990960458065726,7.3432877104509435,33
51809,100.0,no_personalization,0.37990960458065726,13.885581559523292,33
35457,0.2,federated,0.7428246627598407,7.951263017522399,10
35457,0.2,no_personalization,0.7428246627598407,8.330303538159265,10
35457,0.5,federated,0.7150086483623568,6.940100380553567,14
35457,0.5,no_personalization,0.7150086483623568,3.078324659199975e-06,14
35457,1.0,federated,0.6674007629678093,11.168586755462648,17
35457,1.0,no_personalization,0.6674007629678093,6.780961497049288,17
35457,3.0,federated,0.5129857404035036,6.6274897705865685,22
35457,3.0,no_personalization,0.5129857404035036,12.148338889354143,22
35457,10.0,federated,0.41958785525295617,7.781950228023398,29
35457,10.0,no_personalization,0.41958785525295617,14.679711925325652,29
35457,100.0,federated,0.38013057134574163,7.808479981897654,33
35457,100.0,no_personalization,0.38013057134574163,12.148338890386581,33
47644,0.2,federated,0.8122792867958346,9.308754125065562,6
47644,0.2,no_personalization,0.8122792867958346,12.148338889818916,6
47644,0.5,federated,0.6643946194069957,10.556484565359705,5
47644,0.5,no_personalization,0.6643946194069957,8.72966469539447,5
47644,1.0,federated,0.6149183537326919,8.838792291531954,13
47644,1.0,no_personalization,0.6149183537326919,13.885581559562098,13
47644,3.0,federated,0.48332865262443764,9.169567163421588,18
47644,3.0,no_personalization,0.48332865262443764,14.679711924231752,18
47644,10.0,federated,0.4129297649222019,10.315503781181206,23
47644,10.0,no_personalization,0.4129297649222019,8.72966469495477,23
47644,100.0,federated,0.3816704525812965,10.352696592268535,29
47644,100.0,no_personalization,0.3816704525812965,13.885581559536757,29
