repeat,method,mode,amplitude,pi_s,selected_rank,mape,median,q25,q75,mape_user0,median_user0,mape_user1,median_user1,mape_user2,median_user2
0,clean,none,0.0,0.0,"[3, 3, 4]",0.07502886496537982,0.06775724367828406,0.03816621968323181,0.10135321329906183,0.06938341907618406,0.07192576772377374,0.08474558677892743,0.06483448008887627,0.07095758904102797,0.056713146809956386
0,oracle,hot_block,10.0,0.3,"[5, 5, 6]",0.2043484067927164,0.14495086529576526,0.06394569654184817,0.25911529296871233,0.30453245998635714,0.1404173318303439,0.14532423182985782,0.13453281620902288,0.16318852856193422,0.16094280219788928
0,baseline,hot_block,10.0,0.3,"[4, 4, 5]",0.07598298601419809,0.05758776293485765,0.03315453864799875,0.09280073839300215,0.05791101387250012,0.054991201159740016,0.0786870497511001,0.04913585351141057,0.09135089441899412,0.0698895803499567
0,oracle,hot_block,10.0,1.0,"[5, 5, 6]",0.25379581972977217,0.17789791210799005,0.1101206065721295,0.33924389424997625,0.4528746987975244,0.49645172085964095,0.14532423182985782,0.13453281620902288,0.16318852856193422,0.16094280219788928
0,baseline,hot_block,10.0,1.0,"[3, 3, 4]",0.07385720309852967,0.049791083297619054,0.02144992047273998,0.10742205788876849,0.044477823201507796,0.03461156498042155,0.10595850390389139,0.06869885584801191,0.07113528219018984,0.05092685988628308
0,oracle,stripe,10.0,0.3,"[3, 3, 4]",0.16285950592401177,0.06920256807162216,0.04111506744591257,0.1364175182463365,0.33287534195207985,0.08677312459203851,0.08474558677892743,0.06483448008887627,0.07095758904102797,0.056713146809956386
0,baseline,stripe,10.0,0.3,"[3, 3, 4]",0.06756969933358722,0.0550260104684373,0.03685021611252584,0.0851975224165817,0.05420950967767294,0.04946812001319624,0.08299192760911409,0.05588392813686706,0.0655076607139747,0.05822876428455123
0,oracle,stripe,10.0,1.0,"[5, 5, 6]",0.35151218013280405,0.20083123600184288,0.12186356507255491,0.7417516216175027,0.7460237800066202,0.7753077101849801,0.14532423182985782,0.13453281620902288,0.16318852856193422,0.16094280219788928
0,baseline,stripe,10.0,1.0,"[4, 4, 5]",0.07309083276281474,0.06617770603348427,0.02986324706674951,0.09415195850863224,0.05857603537782635,0.039754328496003744,0.08070649005285176,0.07094348359363728,0.07998997285776609,0.08524658701060395
1,clean,none,0.0,0.0,"[4, 4, 5]",0.0785056835107325,0.07168088783841828,0.04165754686076743,0.10544642911456037,0.08480870728534569,0.07267402801272266,0.07477421115402601,0.08600714577407835,0.0759341320928258,0.06683110487632764
1,oracle,hot_block,10.0,0.3,"[2, 2, 3]",0.2752893067472156,0.11997489252106255,0.05039136127218351,0.20113915259361423,0.5868078780538455,0.18144194531924385,0.11819106271983545,0.10586626936655052,0.1208689794679659,0.11086236838471725
1,baseline,hot_block,10.0,0.3,"[3, 3, 4]",0.07626979648699038,0.07375843989011245,0.03282817888798757,0.10247537316251212,0.06268256324244069,0.04723825522547263,0.06696241798124958,0.06347989383291161,0.0991644082372809,0.07638411290555913
1,oracle,hot_block,10.0,1.0,"[2, 2, 3]",0.3853638733628889,0.1670469235181285,0.07745336654729776,0.7290595996929972,0.9170315779008653,0.8976756280296317,0.11819106271983545,0.10586626936655052,0.1208689794679659,0.11086236838471725
1,baseline,hot_block,10.0,1.0,"[4, 4, 5]",0.06462758955712436,0.0481622756634216,0.018466398979420467,0.10270644434861533,0.04997874336946213,0.03806486546508511,0.08599419768213008,0.0831359378081719,0.05790982761978088,0.046159934274911496
1,oracle,stripe,10.0,0.3,"[2, 2, 3]",0.15889428695044866,0.11566474539237581,0.04357649544863858,0.191222290761326,0.23762281866354468,0.1267523245660566,0.11819106271983545,0.10586626936655052,0.1208689794679659,0.11086236838471725
1,baseline,stripe,10.0,0.3,"[4, 4, 5]",0.04939917065876717,0.04311814474675109,0.018743292725367892,0.06793688161424402,0.049384583872193924,0.04056295762184683,0.053686978592914415,0.047383657971196834,0.04512594951119314,0.042294728353281956
1,oracle,stripe,10.0,1.0,"[4, 4, 5]",0.11352216936993788,0.09264992328656427,0.05576918860698816,0.13259924774991372,0.18985816486296175,0.16906335396853517,0.07477421115402601,0.08600714577407835,0.0759341320928258,0.06683110487632764
1,baseline,stripe,10.0,1.0,"[3, 3, 4]",0.07090051472800091,0.06415524005001513,0.029500172602268178,0.09175813541528358,0.05634008860679015,0.06119212652143503,0.09947442544211535,0.08772796656354762,0.05688703013509726,0.05348873195289537
2,clean,none,0.0,0.0,"[3, 3, 4]",0.06392584861809286,0.06157366265353106,0.03219315555912297,0.08652801831961693,0.05408764670036007,0.04564450288299405,0.06666766148802776,0.06389656205269395,0.07102223766589078,0.06523738798538514
2,oracle,hot_block,10.0,0.3,"[4, 4, 5]",0.09944580485911879,0.07669444703406894,0.043460074166297075,0.1290665147253624,0.11213260074180809,0.07669444703406894,0.08335644956976165,0.06542494891450139,0.10284836426578674,0.07776217950276046
2,baseline,hot_block,10.0,0.3,"[3, 3, 4]",0.06237072699883461,0.04743654651794789,0.01899668239211287,0.08463732139414148,0.053509126308623145,0.04097917568365417,0.08026552359243058,0.06767408577973624,0.05333753109545011,0.04667099721924146
2,oracle,hot_block,10.0,1.0,"[4, 4, 5]",0.15672704779236807,0.11485852421643472,0.045255410019442804,0.2219112521269694,0.28397632954155594,0.3085348686294027,0.08335644956976165,0.06542494891450139,0.10284836426578674,0.07776217950276046
2,baseline,hot_block,10.0,1.0,"[3, 3, 4]",0.05234342878172995,0.04270473474131385,0.02681763796038733,0.0740071416191779,0.03539597925589183,0.030553035848918178,0.05469308046106477,0.051005933954726884,0.06694122662823324,0.06656095317887367
2,oracle,stripe,10.0,0.3,"[3, 3, 4]",0.08094610176741218,0.06644953778967042,0.03502515968175418,0.10388229376096546,0.105148406148318,0.06850554329797637,0.06666766148802776,0.06389656205269395,0.07102223766589078,0.06523738798538514
2,baseline,stripe,10.0,0.3,"[3, 3, 4]",0.06179066357077675,0.06556556124129596,0.0259441750967399,0.0905814772957466,0.06918727764101948,0.0651467332293944,0.049653163485670115,0.045373222849243944,0.06653154958564068,0.07933295299201226
2,oracle,stripe,10.0,1.0,"[3, 3, 4]",0.14206986594101428,0.09216017282830923,0.04814052825829826,0.24846362760289678,0.2885196986691244,0.27808501841077726,0.06666766148802776,0.06389656205269395,0.07102223766589078,0.06523738798538514
2,baseline,stripe,10.0,1.0,"[3, 3, 4]",0.0620578315767858,0.04654708212495814,0.029671446472469033,0.08005642337610808,0.044595211553396616,0.03871891727123772,0.06419676010392347,0.05252208314820149,0.07738152307303733,0.058940241126678
3,clean,none,0.0,0.0,"[4, 4, 5]",0.03420237990538539,0.02512561353002114,0.014305601225389628,0.04642421585127298,0.03512893322709202,0.027672263172657984,0.03399212204744782,0.02512561353002114,0.0334860844416163,0.019057201358764653
3,oracle,hot_block,10.0,0.3,"[2, 2, 3]",0.08569844462340129,0.049345125521657346,0.03192369233377011,0.08779112134052677,0.15594874249023807,0.07079525919669571,0.03872136562012701,0.03539370818542869,0.062425225759838776,0.05394939990190131
3,baseline,hot_block,10.0,0.3,"[2, 2, 3]",0.06920339619864593,0.05958871586879646,0.0266200887233938,0.10101214124497047,0.08691541512829745,0.0864224355572975,0.07216977176494205,0.05150740739993777,0.048525001702698294,0.04477639968549508
3,oracle,hot_block,10.0,1.0,"[2, 2, 3]",0.08627984485083125,0.061948666691430024,0.034803428317476806,0.10129993386547906,0.15769294317252797,0.14259933570030325,0.03872136562012701,0.03539370818542869,0.062425225759838776,0.05394939990190131
3,baseline,hot_block,10.0,1.0,"[3, 3, 4]",0.05712005114845762,0.04127955903527004,0.017657104150659218,0.07008430699802427,0.07077780115506807,0.04187207550565482,0.050188595148928386,0.04568743834281359,0.05039375714137637,0.036869951112402495
