method,noise_mult,pi_s,huber_k,repeat,value
rftl_s_prec,2,0.05,1.0,34,0.13333333333333333
rftl_s_prec,2,0.05,1.0,35,0.13333333333333333
rftl_s_prec,2,0.05,1.0,36,0.13333333333333333
rftl_s_prec,2,0.05,1.0,37,0.13333333333333333
rftl_s_prec,2,0.05,1.0,38,0.13333333333333333
rftl_s_prec,2,0.05,1.0,39,0.13333333333333333
rftl_s_prec,2,0.05,1.0,40,0.13333333333333333
rftl_s_prec,2,0.05,1.0,41,0.13333333333333333
rftl_s_prec,2,0.05,1.0,42,0.13333333333333333
rftl_s_prec,2,0.05,1.0,43,0.13333333333333333
rftl_s_prec,2,0.05,1.0,44,0.13333333333333333
rftl_s_prec,2,0.05,1.0,45,0.13333333333333333
rftl_s_prec,2,0.05,1.0,46,0.13333333333333333
rftl_s_prec,2,0.05,1.0,47,0.13333333333333333
rftl_s_prec,2,0.05,1.0,48,0.13333333333333333
rftl_s_prec,2,0.05,1.0,49,0.13333333333333333
rftl_s_rec,2,0.05,1.0,0,1.0
rftl_s_rec,2,0.05,1.0,1,1.0
rftl_s_rec,2,0.05,1.0,2,1.0
rftl_s_rec,2,0.05,1.0,3,1.0
rftl_s_rec,2,0.05,1.0,4,1.0
rftl_s_rec,2,0.05,1.0,5,1.0
rftl_s_rec,2,0.05,1.0,6,1.0
rftl_s_rec,2,0.05,1.0,7,1.0
rftl_s_rec,2,0.05,1.0,8,1.0
rftl_s_rec,2,0.05,1.0,9,1.0
rftl_s_rec,2,0.05,1.0,10,1.0
rftl_s_rec,2,0.05,1.0,11,1.0
rftl_s_rec,2,0.05,1.0,12,1.0
rftl_s_rec,2,0.05,1.0,13,1.0
rftl_s_rec,2,0.05,1.0,14,1.0
rftl_s_rec,2,0.05,1.0,15,1.0
rftl_s_rec,2,0.05,1.0,16,1.0
rftl_s_rec,2,0.05,1.0,17,1.0
rftl_s_rec,2,0.05,1.0,18,1.0
rftl_s_rec,2,0.05,1.0,19,1.0
rftl_s_rec,2,0.05,1.0,20,1.0
rftl_s_rec,2,0.05,1.0,21,1.0
rftl_s_rec,2,0.05,1.0,22,1.0
rftl_s_rec,2,0.05,1.0,23,1.0
rftl_s_rec,2,0.05,1.0,24,1.0
rftl_s_rec,2,0.05,1.0,25,1.0
rftl_s_rec,2,0.05,1.0,26,1.0
rftl_s_rec,2,0.05,1.0,27,1.0
rftl_s_rec,2,0.05,1.0,28,1.0
rftl_s_rec,2,0.05,1.0,29,1.0
rftl_s_rec,2,0.05,1.0,30,1.0
rftl_s_rec,2,0.05,1.0,31,1.0
rftl_s_rec,2,0.05,1.0,32,1.0
rftl_s_rec,2,0.05,1.0,33,1.0
rftl_s_rec,2,0.05,1.0,34,1.0
rftl_s_rec,2,0.05,1.0,35,1.0
rftl_s_rec,2,0.05,1.0,36,1.0
rftl_s_rec,2,0.05,1.0,37,1.0
rftl_s_rec,2,0.05,1.0,38,1.0
rftl_s_rec,2,0.05,1.0,39,1.0
rftl_s_rec,2,0.05,1.0,40,1.0
rftl_s_rec,2,0.05,1.0,41,1.0
rftl_s_rec,2,0.05,1.0,42,1.0
rftl_s_rec,2,0.05,1.0,43,1.0
rftl_s_rec,2,0.05,1.0,44,1.0
rftl_s_rec,2,0.05,1.0,45,1.0
rftl_s_rec,2,0.05,1.0,46,1.0
rftl_s_rec,2,0.05,1.0,47,1.0
rftl_s_rec,2,0.05,1.0,48,1.0
rftl_s_rec,2,0.05,1.0,49,1.0
rftl_s,2,0.05,1.0,0,0.0675521480479523
rftl_s,2,0.05,1.0,1,0.06869325749470574
rftl_s,2,0.05,1.0,2,0.09299179491359072
rftl_s,2,0.05,1.0,3,0.06612197652463116
rftl_s,2,0.05,1.0,4,0.0770013109258389
rftl_s,2,0.05,1.0,5,0.08940716100441279
rftl_s,2,0.05,1.0,6,0.07967154749242761
rftl_s,2,0.05,1.0,7,0.08740835080048454
rftl_s,2,0.05,1.0,8,0.06582165646261816
rftl_s,2,0.05,1.0,9,0.0649163294872206
rftl_s,2,0.05,1.0,10,0.06525532967123673
rftl_s,2,0.05,1.0,11,0.08412220966802696
rftl_s,2,0.05,1.0,12,0.05263040876367329
rftl_s,2,0.05,1.0,13,0.0820326781774831
rftl_s,2,0.05,1.0,14,0.04562821617020192
rftl_s,2,0.05,1.0,15,0.06353322857563344
rftl_s,2,0.05,1.0,16,0.04261590025020369
rftl_s,2,0.05,1.0,17,0.07365126836196748
rftl_s,2,0.05,1.0,18,0.0712379884174521
rftl_s,2,0.05,1.0,19,0.05071375855544833
rftl_s,2,0.05,1.0,20,0.08601752996766177
rftl_s,2,0.05,1.0,21,0.07359820175641499
rftl_s,2,0.05,1.0,22,0.0562389732978343
rftl_s,2,0.05,1.0,23,0.06997955373513146
rftl_s,2,0.05,1.0,24,0.09128213620022775
rftl_s,2,0.05,1.0,25,0.04683073359829484
rftl_s,2,0.05,1.0,26,0.07584684573010247
rftl_s,2,0.05,1.0,27,0.05459876417975356
rftl_s,2,0.05,1.0,28,0.08076835752594087
rftl_s,2,0.05,1.0,29,0.05463424912909184
rftl_s,2,0.05,1.0,30,0.08185090492673974
rftl_s,2,0.05,1.0,31,0.06878049395020862
rftl_s,2,0.05,1.0,32,0.048706190742715504
rftl_s,2,0.05,1.0,33,0.07972207768412147
rftl_s,2,0.05,1.0,34,0.06448753886993853
rftl_s,2,0.05,1.0,35,0.044949601963723614
rftl_s,2,0.05,1.0,36,0.04798354700342063
rftl_s,2,0.05,1.0,37,0.07086581032007934
rftl_s,2,0.05,1.0,38,0.07941774652780083
rftl_s,2,0.05,1.0,39,0.08478215745248363
rftl_s,2,0.05,1.0,40,0.062464120290369456
rftl_s,2,0.05,1.0,41,0.07487036905741792
rftl_s,2,0.05,1.0,42,0.09651916259261187
rftl_s,2,0.05,1.0,43,0.06653605069623669
rftl_s,2,0.05,1.0,44,0.05069283301796499
rftl_s,2,0.05,1.0,45,0.08940036455737396
rftl_s,2,0.05,1.0,46,0.061642402683975986
rftl_s,2,0.05,1.0,47,0.09006769828035105
rftl_s,2,0.05,1.0,48,0.08538273745191698
rftl_s,2,0.05,1.0,49,0.05598380846126716
rftl_s_prec,2,0.05,1.345,0,0.2
rftl_s_prec,2,0.05,1.345,1,0.1935483870967742
rftl_s_prec,2,0.05,1.345,2,0.2222222222222222
rftl_s_prec,2,0.05,1.345,3,0.15384615384615385
rftl_s_prec,2,0.05,1.345,4,0.25
rftl_s_prec,2,0.05,1.345,5,0.2727272727272727
rftl_s_prec,2,0.05,1.345,6,0.24
rftl_s_prec,2,0.05,1.345,7,0.2727272727272727
rftl_s_prec,2,0.05,1.345,8,0.23076923076923078
rftl_s_prec,2,0.05,1.345,9,0.17142857142857143
rftl_s_prec,2,0.05,1.345,10,0.16666666666666666
rftl_s_prec,2,0.05,1.345,11,0.17142857142857143
rftl_s_prec,2,0.05,1.345,12,0.17142857142857143
rftl_s_prec,2,0.05,1.345,13,0.16216216216216217
rftl_s_prec,2,0.05,1.345,14,0.20689655172413793
rftl_s_prec,2,0.05,1.345,15,0.23076923076923078
rftl_s_prec,2,0.05,1.345,16,0.17142857142857143
rftl_s_prec,2,0.05,1.345,17,0.17647058823529413
rftl_s_prec,2,0.05,1.345,18,0.20689655172413793
rftl_s_prec,2,0.05,1.345,19,0.2857142857142857
rftl_s_prec,2,0.05,1.345,20,0.1875
rftl_s_prec,2,0.05,1.345,21,0.25
rftl_s_prec,2,0.05,1.345,22,0.1875
rftl_s_prec,2,0.05,1.345,23,0.17142857142857143
rftl_s_prec,2,0.05,1.345,24,0.18181818181818182
rftl_s_prec,2,0.05,1.345,25,0.15
rftl_s_prec,2,0.05,1.345,26,0.16666666666666666
rftl_s_prec,2,0.05,1.345,27,0.2727272727272727
rftl_s_prec,2,0.05,1.345,28,0.1935483870967742
rftl_s_prec,2,0.05,1.345,29,0.15789473684210525
rftl_s_prec,2,0.05,1.345,30,0.17142857142857143
rftl_s_prec,2,0.05,1.345,31,0.1875
rftl_s_prec,2,0.05,1.345,32,0.1875
rftl_s_prec,2,0.05,1.345,33,0.21428571428571427
rftl_s_prec,2,0.05,1.345,34,0.17647058823529413
rftl_s_prec,2,0.05,1.345,35,0.1935483870967742
rftl_s_prec,2,0.05,1.345,36,0.1935483870967742
rftl_s_prec,2,0.05,1.345,37,0.17142857142857143
rftl_s_prec,2,0.05,1.345,38,0.2608695652173913
rftl_s_prec,2,0.05,1.345,39,0.1935483870967742
rftl_s_prec,2,0.05,1.345,40,0.20689655172413793
rftl_s_prec,2,0.05,1.345,41,0.2608695652173913
rftl_s_prec,2,0.05,1.345,42,0.1875
rftl_s_prec,2,0.05,1.345,43,0.18181818181818182
rftl_s_prec,2,0.05,1.345,44,0.35294117647058826
rftl_s_prec,2,0.05,1.345,45,0.18181818181818182
rftl_s_prec,2,0.05,1.345,46,0.2608695652173913
rftl_s_prec,2,0.05,1.345,47,0.15
rftl_s_prec,2,0.05,1.345,48,0.1935483870967742
rftl_s_prec,2,0.05,1.345,49,0.35294117647058826
rftl_s_rec,2,0.05,1.345,0,1.0
rftl_s_rec,2,0.05,1.345,1,1.0
rftl_s_rec,2,0.05,1.345,2,1.0
rftl_s_rec,2,0.05,1.345,3,1.0
rftl_s_rec,2,0.05,1.345,4,1.0
rftl_s_rec,2,0.05,1.345,5,1.0
rftl_s_rec,2,0.05,1.345,6,1.0
rftl_s_rec,2,0.05,1.345,7,1.0
rftl_s_rec,2,0.05,1.345,8,1.0
rftl_s_rec,2,0.05,1.345,9,1.0
rftl_s_rec,2,0.05,1.345,10,1.0
rftl_s_rec,2,0.05,1.345,11,1.0
rftl_s_rec,2,0.05,1.345,12,1.0
rftl_s_rec,2,0.05,1.345,13,1.0
rftl_s_rec,2,0.05,1.345,14,1.0
rftl_s_rec,2,0.05,1.345,15,1.0
rftl_s_rec,2,0.05,1.345,16,1.0
rftl_s_rec,2,0.05,1.345,17,1.0
rftl_s_rec,2,0.05,1.345,18,1.0
rftl_s_rec,2,0.05,1.345,19,1.0
rftl_s_rec,2,0.05,1.345,20,1.0
rftl_s_rec,2,0.05,1.345,21,1.0
rftl_s_rec,2,0.05,1.345,22,1.0
rftl_s_rec,2,0.05,1.345,23,1.0
rftl_s_rec,2,0.05,1.345,24,1.0
rftl_s_rec,2,0.05,1.345,25,1.0
rftl_s_rec,2,0.05,1.345,26,1.0
rftl_s_rec,2,0.05,1.345,27,1.0
rftl_s_rec,2,0.05,1.345,28,1.0
rftl_s_rec,2,0.05,1.345,29,1.0
rftl_s_rec,2,0.05,1.345,30,1.0
rftl_s_rec,2,0.05,1.345,31,1.0
rftl_s_rec,2,0.05,1.345,32,1.0
rftl_s_rec,2,0.05,1.345,33,1.0
rftl_s_rec,2,0.05,1.345,34,1.0
rftl_s_rec,2,0.05,1.345,35,1.0
rftl_s_rec,2,0.05,1.345,36,1.0
rftl_s_rec,2,0.05,1.345,37,1.0
rftl_s_rec,2,0.05,1.345,38,1.0
rftl_s_rec,2,0.05,1.345,39,1.0
rftl_s_rec,2,0.05,1.345,40,1.0
rftl_s_rec,2,0.05,1.345,41,1.0
rftl_s_rec,2,0.05,1.345,42,1.0
rftl_s_rec,2,0.05,1.345,43,1.0
rftl_s_rec,2,0.05,1.345,44,1.0
rftl_s_rec,2,0.05,1.345,45,1.0
rftl_s_rec,2,0.05,1.345,46,1.0
rftl_s_rec,2,0.05,1.345,47,1.0
rftl_s_rec,2,0.05,1.345,48,1.0
rftl_s_rec,2,0.05,1.345,49,1.0
rftl_s,2,0.05,1.345,0,0.060577108689535746
rftl_s,2,0.05,1.345,1,0.07747537768651507
rftl_s,2,0.05,1.345,2,0.05734828504196333
rftl_s,2,0.05,1.345,3,0.0656093889832589
rftl_s,2,0.05,1.345,4,0.07089840842169136
rftl_s,2,0.05,1.345,5,0.09398669544535328
rftl_s,2,0.05,1.345,6,0.06721977256838921
rftl_s,2,0.05,1.345,7,0.0820515245053737
rftl_s,2,0.05,1.345,8,0.05651447221095626
rftl_s,2,0.05,1.345,9,0.06832129676110231
rftl_s,2,0.05,1.345,10,0.07678364978840234
rftl_s,2,0.05,1.345,11,0.08132050875276248
rftl_s,2,0.05,1.345,12,0.05566158647860367
rftl_s,2,0.05,1.345,13,0.08172370726071136
rftl_s,2,0.05,1.345,14,0.043934902422628944
rftl_s,2,0.05,1.345,15,0.07971431394029274
rftl_s,2,0.05,1.345,16,0.061858697005766926
rftl_s,2,0.05,1.345,17,0.08150847227451556
rftl_s,2,0.05,1.345,18,0.0729783169395813
rftl_s,2,0.05,1.345,19,0.06348445147167166
rftl_s,2,0.05,1.345,20,0.06788554209197852
rftl_s,2,0.05,1.345,21,0.10239833438941838
rftl_s,2,0.05,1.345,22,0.06166442217223876
rftl_s,2,0.05,1.345,23,0.06987667291524655
rftl_s,2,0.05,1.345,24,0.05195155226502117
rftl_s,2,0.05,1.345,25,0.07161359359684154
rftl_s,2,0.05,1.345,26,0.05670310824132033
rftl_s,2,0.05,1.345,27,0.06104380288681662
rftl_s,2,0.05,1.345,28,0.09937015227915
rftl_s,2,0.05,1.345,29,0.04565407107519078
rftl_s,2,0.05,1.345,30,0.05978429639164024
rftl_s,2,0.05,1.345,31,0.04741652768728515
rftl_s,2,0.05,1.345,32,0.06117224063208386
rftl_s,2,0.05,1.345,33,0.04746817190497373
rftl_s,2,0.05,1.345,34,0.04827060792187653
rftl_s,2,0.05,1.345,35,0.04687788869695175
rftl_s,2,0.05,1.345,36,0.08567310306287565
rftl_s,2,0.05,1.345,37,0.07385018849677374
rftl_s,2,0.05,1.345,38,0.08714168385190792
rftl_s,2,0.05,1.345,39,0.058020832367366215
rftl_s,2,0.05,1.345,40,0.05400287690316118
rftl_s,2,0.05,1.345,41,0.08160922722537274
rftl_s,2,0.05,1.345,42,0.07944534701829985
rftl_s,2,0.05,1.345,43,0.0706996024487044
