method,noise_mult,pi_s,huber_k,repeat,value
rftl_s_prec,2,0.2,1.0,31,0.4
rftl_s_prec,2,0.2,1.0,32,0.4
rftl_s_prec,2,0.2,1.0,33,0.4
rftl_s_prec,2,0.2,1.0,34,0.4
rftl_s_prec,2,0.2,1.0,35,0.4
rftl_s_prec,2,0.2,1.0,36,0.4
rftl_s_prec,2,0.2,1.0,37,0.4
rftl_s_prec,2,0.2,1.0,38,0.4
rftl_s_prec,2,0.2,1.0,39,0.4
rftl_s_prec,2,0.2,1.0,40,0.4
rftl_s_prec,2,0.2,1.0,41,0.4
rftl_s_prec,2,0.2,1.0,42,0.4
rftl_s_prec,2,0.2,1.0,43,0.4
rftl_s_prec,2,0.2,1.0,44,0.4
rftl_s_prec,2,0.2,1.0,45,0.4
rftl_s_prec,2,0.2,1.0,46,0.4
rftl_s_prec,2,0.2,1.0,47,0.4
rftl_s_prec,2,0.2,1.0,48,0.4
rftl_s_prec,2,0.2,1.0,49,0.4
rftl_s_rec,2,0.2,1.0,0,1.0
rftl_s_rec,2,0.2,1.0,1,1.0
rftl_s_rec,2,0.2,1.0,2,1.0
rftl_s_rec,2,0.2,1.0,3,1.0
rftl_s_rec,2,0.2,1.0,4,1.0
rftl_s_rec,2,0.2,1.0,5,1.0
rftl_s_rec,2,0.2,1.0,6,1.0
rftl_s_rec,2,0.2,1.0,7,1.0
rftl_s_rec,2,0.2,1.0,8,1.0
rftl_s_rec,2,0.2,1.0,9,1.0
rftl_s_rec,2,0.2,1.0,10,1.0
rftl_s_rec,2,0.2,1.0,11,1.0
rftl_s_rec,2,0.2,1.0,12,1.0
rftl_s_rec,2,0.2,1.0,13,1.0
rftl_s_rec,2,0.2,1.0,14,1.0
rftl_s_rec,2,0.2,1.0,15,1.0
rftl_s_rec,2,0.2,1.0,16,1.0
rftl_s_rec,2,0.2,1.0,17,1.0
rftl_s_rec,2,0.2,1.0,18,1.0
rftl_s_rec,2,0.2,1.0,19,1.0
rftl_s_rec,2,0.2,1.0,20,1.0
rftl_s_rec,2,0.2,1.0,21,1.0
rftl_s_rec,2,0.2,1.0,22,1.0
rftl_s_rec,2,0.2,1.0,23,1.0
rftl_s_rec,2,0.2,1.0,24,1.0
rftl_s_rec,2,0.2,1.0,25,1.0
rftl_s_rec,2,0.2,1.0,26,1.0
rftl_s_rec,2,0.2,1.0,27,1.0
rftl_s_rec,2,0.2,1.0,28,1.0
rftl_s_rec,2,0.2,1.0,29,1.0
rftl_s_rec,2,0.2,1.0,30,1.0
rftl_s_rec,2,0.2,1.0,31,1.0
rftl_s_rec,2,0.2,1.0,32,1.0
rftl_s_rec,2,0.2,1.0,33,1.0
rftl_s_rec,2,0.2,1.0,34,1.0
rftl_s_rec,2,0.2,1.0,35,1.0
rftl_s_rec,2,0.2,1.0,36,1.0
rftl_s_rec,2,0.2,1.0,37,1.0
rftl_s_rec,2,0.2,1.0,38,1.0
rftl_s_rec,2,0.2,1.0,39,1.0
rftl_s_rec,2,0.2,1.0,40,1.0
rftl_s_rec,2,0.2,1.0,41,1.0
rftl_s_rec,2,0.2,1.0,42,1.0
rftl_s_rec,2,0.2,1.0,43,1.0
rftl_s_rec,2,0.2,1.0,44,1.0
rftl_s_rec,2,0.2,1.0,45,1.0
rftl_s_rec,2,0.2,1.0,46,1.0
rftl_s_rec,2,0.2,1.0,47,1.0
rftl_s_rec,2,0.2,1.0,48,1.0
rftl_s_rec,2,0.2,1.0,49,1.0
rftl_s,2,0.2,1.0,0,0.04326697002292011
rftl_s,2,0.2,1.0,1,0.0722451877434404
rftl_s,2,0.2,1.0,2,0.04849521014147094
rftl_s,2,0.2,1.0,3,0.07872328638169046
rftl_s,2,0.2,1.0,4,0.07038441676560908
rftl_s,2,0.2,1.0,5,0.05307206817213091
rftl_s,2,0.2,1.0,6,0.07336233234094859
rftl_s,2,0.2,1.0,7,0.061499996673062225
rftl_s,2,0.2,1.0,8,0.06433706223533131
rftl_s,2,0.2,1.0,9,0.06504045807051585
rftl_s,2,0.2,1.0,10,0.06652231775579939
rftl_s,2,0.2,1.0,11,0.06519400588485512
rftl_s,2,0.2,1.0,12,0.06218762000112158
rftl_s,2,0.2,1.0,13,0.08349759099603575
rftl_s,2,0.2,1.0,14,0.049080944010837686
rftl_s,2,0.2,1.0,15,0.0750845868703952
rftl_s,2,0.2,1.0,16,0.0785258451964628
rftl_s,2,0.2,1.0,17,0.0606221263656285
rftl_s,2,0.2,1.0,18,0.0703212326243688
rftl_s,2,0.2,1.0,19,0.04911665707515001
rftl_s,2,0.2,1.0,20,0.10428953347705071
rftl_s,2,0.2,1.0,21,0.07530087612802867
rftl_s,2,0.2,1.0,22,0.054787819492925154
rftl_s,2,0.2,1.0,23,0.06581642187195837
rftl_s,2,0.2,1.0,24,0.07559642249554394
rftl_s,2,0.2,1.0,25,0.07572171837986921
rftl_s,2,0.2,1.0,26,0.05143011525033168
rftl_s,2,0.2,1.0,27,0.06544978889090422
rftl_s,2,0.2,1.0,28,0.10034068959770939
rftl_s,2,0.2,1.0,29,0.06136627902336443
rftl_s,2,0.2,1.0,30,0.06914225210482078
rftl_s,2,0.2,1.0,31,0.06448509538720147
rftl_s,2,0.2,1.0,32,0.04439370972250665
rftl_s,2,0.2,1.0,33,0.04528913286820064
rftl_s,2,0.2,1.0,34,0.08384545265947935
rftl_s,2,0.2,1.0,35,0.06096619935898866
rftl_s,2,0.2,1.0,36,0.05942984374278755
rftl_s,2,0.2,1.0,37,0.08234980598015967
rftl_s,2,0.2,1.0,38,0.08034799397298645
rftl_s,2,0.2,1.0,39,0.08644688518965239
rftl_s,2,0.2,1.0,40,0.08037806629455845
rftl_s,2,0.2,1.0,41,0.07504988690040812
rftl_s,2,0.2,1.0,42,0.052394781466641546
rftl_s,2,0.2,1.0,43,0.04774589146879219
rftl_s,2,0.2,1.0,44,0.06774749923851844
rftl_s,2,0.2,1.0,45,0.059878065749062286
rftl_s,2,0.2,1.0,46,0.09657108801957842
rftl_s,2,0.2,1.0,47,0.07949163468653568
rftl_s,2,0.2,1.0,48,0.073072078094751
rftl_s,2,0.2,1.0,49,0.07942540803557138
rftl_s_prec,2,0.2,1.345,0,0.5454545454545454
rftl_s_prec,2,0.2,1.345,1,0.45
rftl_s_prec,2,0.2,1.345,2,0.4864864864864865
rftl_s_prec,2,0.2,1.345,3,0.45
rftl_s_prec,2,0.2,1.345,4,0.4864864864864865
rftl_s_prec,2,0.2,1.345,5,0.47368421052631576
rftl_s_prec,2,0.2,1.345,6,0.45
rftl_s_prec,2,0.2,1.345,7,0.6428571428571429
rftl_s_prec,2,0.2,1.345,8,0.6206896551724138
rftl_s_prec,2,0.2,1.345,9,0.4864864864864865
rftl_s_prec,2,0.2,1.345,10,0.5806451612903226
rftl_s_prec,2,0.2,1.345,11,0.47368421052631576
rftl_s_prec,2,0.2,1.345,12,0.5142857142857142
rftl_s_prec,2,0.2,1.345,13,0.5294117647058824
rftl_s_prec,2,0.2,1.345,14,0.45
rftl_s_prec,2,0.2,1.345,15,0.6666666666666666
rftl_s_prec,2,0.2,1.345,16,0.5142857142857142
rftl_s_prec,2,0.2,1.345,17,0.4864864864864865
rftl_s_prec,2,0.2,1.345,18,0.4864864864864865
rftl_s_prec,2,0.2,1.345,19,0.5294117647058824
rftl_s_prec,2,0.2,1.345,20,0.5454545454545454
rftl_s_prec,2,0.2,1.345,21,0.46153846153846156
rftl_s_prec,2,0.2,1.345,22,0.5142857142857142
rftl_s_prec,2,0.2,1.345,23,0.46153846153846156
rftl_s_prec,2,0.2,1.345,24,0.5
rftl_s_prec,2,0.2,1.345,25,0.47368421052631576
rftl_s_prec,2,0.2,1.345,26,0.5142857142857142
rftl_s_prec,2,0.2,1.345,27,0.5
rftl_s_prec,2,0.2,1.345,28,0.4864864864864865
rftl_s_prec,2,0.2,1.345,29,0.5625
rftl_s_prec,2,0.2,1.345,30,0.5
rftl_s_prec,2,0.2,1.345,31,0.4864864864864865
rftl_s_prec,2,0.2,1.345,32,0.5454545454545454
rftl_s_prec,2,0.2,1.345,33,0.6923076923076923
rftl_s_prec,2,0.2,1.345,34,0.5454545454545454
rftl_s_prec,2,0.2,1.345,35,0.45
rftl_s_prec,2,0.2,1.345,36,0.5
rftl_s_prec,2,0.2,1.345,37,0.47368421052631576
rftl_s_prec,2,0.2,1.345,38,0.4864864864864865
rftl_s_prec,2,0.2,1.345,39,0.5806451612903226
rftl_s_prec,2,0.2,1.345,40,0.5142857142857142
rftl_s_prec,2,0.2,1.345,41,0.4864864864864865
rftl_s_prec,2,0.2,1.345,42,0.5294117647058824
rftl_s_prec,2,0.2,1.345,43,0.5142857142857142
rftl_s_prec,2,0.2,1.345,44,0.4864864864864865
rftl_s_prec,2,0.2,1.345,45,0.5454545454545454
rftl_s_prec,2,0.2,1.345,46,0.4864864864864865
rftl_s_prec,2,0.2,1.345,47,0.4864864864864865
rftl_s_prec,2,0.2,1.345,48,0.5294117647058824
rftl_s_prec,2,0.2,1.345,49,0.5
rftl_s_rec,2,0.2,1.345,0,1.0
rftl_s_rec,2,0.2,1.345,1,1.0
rftl_s_rec,2,0.2,1.345,2,1.0
rftl_s_rec,2,0.2,1.345,3,1.0
rftl_s_rec,2,0.2,1.345,4,1.0
rftl_s_rec,2,0.2,1.345,5,1.0
rftl_s_rec,2,0.2,1.345,6,1.0
rftl_s_rec,2,0.2,1.345,7,1.0
rftl_s_rec,2,0.2,1.345,8,1.0
rftl_s_rec,2,0.2,1.345,9,1.0
rftl_s_rec,2,0.2,1.345,10,1.0
rftl_s_rec,2,0.2,1.345,11,1.0
rftl_s_rec,2,0.2,1.345,12,1.0
rftl_s_rec,2,0.2,1.345,13,1.0
rftl_s_rec,2,0.2,1.345,14,1.0
rftl_s_rec,2,0.2,1.345,15,1.0
rftl_s_rec,2,0.2,1.345,16,1.0
rftl_s_rec,2,0.2,1.345,17,1.0
rftl_s_rec,2,0.2,1.345,18,1.0
rftl_s_rec,2,0.2,1.345,19,1.0
rftl_s_rec,2,0.2,1.345,20,1.0
rftl_s_rec,2,0.2,1.345,21,1.0
rftl_s_rec,2,0.2,1.345,22,1.0
rftl_s_rec,2,0.2,1.345,23,1.0
rftl_s_rec,2,0.2,1.345,24,1.0
rftl_s_rec,2,0.2,1.345,25,1.0
rftl_s_rec,2,0.2,1.345,26,1.0
rftl_s_rec,2,0.2,1.345,27,1.0
rftl_s_rec,2,0.2,1.345,28,1.0
rftl_s_rec,2,0.2,1.345,29,1.0
rftl_s_rec,2,0.2,1.345,30,1.0
rftl_s_rec,2,0.2,1.345,31,1.0
rftl_s_rec,2,0.2,1.345,32,1.0
rftl_s_rec,2,0.2,1.345,33,1.0
rftl_s_rec,2,0.2,1.345,34,1.0
rftl_s_rec,2,0.2,1.345,35,1.0
rftl_s_rec,2,0.2,1.345,36,1.0
rftl_s_rec,2,0.2,1.345,37,1.0
rftl_s_rec,2,0.2,1.345,38,1.0
rftl_s_rec,2,0.2,1.345,39,1.0
rftl_s_rec,2,0.2,1.345,40,1.0
rftl_s_rec,2,0.2,1.345,41,1.0
rftl_s_rec,2,0.2,1.345,42,1.0
rftl_s_rec,2,0.2,1.345,43,1.0
rftl_s_rec,2,0.2,1.345,44,1.0
rftl_s_rec,2,0.2,1.345,45,1.0
rftl_s_rec,2,0.2,1.345,46,1.0
rftl_s_rec,2,0.2,1.345,47,1.0
rftl_s_rec,2,0.2,1.345,48,1.0
rftl_s_rec,2,0.2,1.345,49,1.0
rftl_s,2,0.2,1.345,0,0.04635977607097564
rftl_s,2,0.2,1.345,1,0.045951408091941384
rftl_s,2,0.2,1.345,2,0.04893896040384554
rftl_s,2,0.2,1.345,3,0.07122671402289041
rftl_s,2,0.2,1.345,4,0.06762081706504788
rftl_s,2,0.2,1.345,5,0.05723483726125004
rftl_s,2,0.2,1.345,6,0.07468523427931027
rftl_s,2,0.2,1.345,7,0.06149875231602753
rftl_s,2,0.2,1.345,8,0.06442001885948202
rftl_s,2,0.2,1.345,9,0.05891792579224355
rftl_s,2,0.2,1.345,10,0.09662516259434874
rftl_s,2,0.2,1.345,11,0.051023730528292975
rftl_s,2,0.2,1.345,12,0.04998646292174659
rftl_s,2,0.2,1.345,13,0.060162972769323926
rftl_s,2,0.2,1.345,14,0.06626312932036418
rftl_s,2,0.2,1.345,15,0.05949689539243615
rftl_s,2,0.2,1.345,16,0.05019139879159249
rftl_s,2,0.2,1.345,17,0.08173430863659378
rftl_s,2,0.2,1.345,18,0.08398268418206986
rftl_s,2,0.2,1.345,19,0.06499940761275592
rftl_s,2,0.2,1.345,20,0.06644811404850096
rftl_s,2,0.2,1.345,21,0.07294001608394846
rftl_s,2,0.2,1.345,22,0.043741143705239245
rftl_s,2,0.2,1.345,23,0.0660794824492621
rftl_s,2,0.2,1.345,24,0.05312154526590402
rftl_s,2,0.2,1.345,25,0.06277395914144614
rftl_s,2,0.2,1.345,26,0.060178350112678754
rftl_s,2,0.2,1.345,27,0.07844137578327222
rftl_s,2,0.2,1.345,28,0.06793699190903585
rftl_s,2,0.2,1.345,29,0.10417479003192662
rftl_s,2,0.2,1.345,30,0.09653058501237076
rftl_s,2,0.2,1.345,31,0.06657566806980451
rftl_s,2,0.2,1.345,32,0.08351777499660518
rftl_s,2,0.2,1.345,33,0.07198268001338978
rftl_s,2,0.2,1.345,34,0.09375999215926442
rftl_s,2,0.2,1.345,35,0.06336975884677679
rftl_s,2,0.2,1.345,36,0.07512835514982653
rftl_s,2,0.2,1.345,37,0.04912231738686317
rftl_s,2,0.2,1.345,38,0.07806254388794984
rftl_s,2,0.2,1.345,39,0.06501741628205768
rftl_s,2,0.2,1.345,40,0.070055682336925
rftl_s,2,0.2,1.345,41,0.06097563468377532
rftl_s,2,0.2,1.345,42,0.06723532200231865
rftl_s,2,0.2,1.345,43,0.04518108954736313
rftl_s,2,0.2,1.345,44,0.06753093955922489
rftl_s,2,0.2,1.345,45,0.04165799098960666
rftl_s,2,0.2,1.345,46,0.08451847478609494
rftl_s,2,0.2,1.345,47,0.04689999466050324
rftl_s,2,0.2,1.345,48,0.07919896519700285
rftl_s,2,0.2,1.345,49,0.05915953695672547
rftl_s_prec,2,0.2,2.0,0,1.0
rftl_s_prec,2,0.2,2.0,1,0.6
rftl_s_prec,2,0.2,2.0,2,1.0
rftl_s_prec,2,0.2,2.0,3,0.782608695652174
rftl_s_prec,2,0.2,2.0,4,1.0
rftl_s_prec,2,0.2,2.0,5,1.0
rftl_s_prec,2,0.2,2.0,6,0.8181818181818182
rftl_s_prec,2,0.2,2.0,7,1.0
rftl_s_prec,2,0.2,2.0,8,0.9473684210526315
rftl_s_prec,2,0.2,2.0,9,0.8571428571428571
rftl_s_prec,2,0.2,2.0,10,1.0
rftl_s_prec,2,0.2,2.0,11,0.75
rftl_s_prec,2,0.2,2.0,12,0.9473684210526315
rftl_s_prec,2,0.2,2.0,13,1.0
rftl_s_prec,2,0.2,2.0,14,0.5806451612903226
rftl_s_prec,2,0.2,2.0,15,0.9473684210526315
rftl_s_prec,2,0.2,2.0,16,1.0
rftl_s_prec,2,0.2,2.0,17,0.8571428571428571
rftl_s_prec,2,0.2,2.0,18,0.782608695652174
rftl_s_prec,2,0.2,2.0,19,0.9473684210526315
rftl_s_prec,2,0.2,2.0,20,1.0
rftl_s_prec,2,0.2,2.0,21,0.75
rftl_s_prec,2,0.2,2.0,22,0.9473684210526315
rftl_s_prec,2,0.2,2.0,23,1.0
rftl_s_prec,2,0.2,2.0,24,1.0
rftl_s_prec,2,0.2,2.0,25,0.782608695652174
rftl_s_prec,2,0.2,2.0,26,1.0
rftl_s_prec,2,0.2,2.0,27,1.0
rftl_s_prec,2,0.2,2.0,28,1.0
rftl_s_prec,2,0.2,2.0,29,1.0
rftl_s_prec,2,0.2,2.0,30,0.782608695652174
rftl_s_prec,2,0.2,2.0,31,0.9473684210526315
rftl_s_prec,2,0.2,2.0,32,1.0
rftl_s_prec,2,0.2,2.0,33,1.0
rftl_s_prec,2,0.2,2.0,34,1.0
rftl_s_prec,2,0.2,2.0,35,0.5454545454545454
rftl_s_prec,2,0.2,2.0,36,1.0
rftl_s_prec,2,0.2,2.0,37,0.9
rftl_s_prec,2,0.2,2.0,38,0.9473684210526315
rftl_s_prec,2,0.2,2.0,39,1.0
rftl_s_prec,2,0.2,2.0,40,1.0
rftl_s_prec,2,0.2,2.0,41,1.0
rftl_s_prec,2,0.2,2.0,42,1.0
rftl_s_prec,2,0.2,2.0,43,1.0
rftl_s_prec,2,0.2,2.0,44,0.9
rftl_s_prec,2,0.2,2.0,45,0.9473684210526315
rftl_s_prec,2,0.2,2.0,46,1.0
rftl_s_prec,2,0.2,2.0,47,0.8571428571428571
rftl_s_prec,2,0.2,2.0,48,0.9473684210526315
rftl_s_prec,2,0.2,2.0,49,0.8571428571428571
rftl_s_rec,2,0.2,2.0,0,1.0
rftl_s_rec,2,0.2,2.0,1,1.0
rftl_s_rec,2,0.2,2.0,2,1.0
rftl_s_rec,2,0.2,2.0,3,1.0
rftl_s_rec,2,0.2,2.0,4,1.0
rftl_s_rec,2,0.2,2.0,5,1.0
rftl_s_rec,2,0.2,2.0,6,1.0
rftl_s_rec,2,0.2,2.0,7,1.0
rftl_s_rec,2,0.2,2.0,8,1.0
rftl_s_rec,2,0.2,2.0,9,1.0
rftl_s_rec,2,0.2,2.0,10,1.0
rftl_s_rec,2,0.2,2.0,11,1.0
rftl_s_rec,2,0.2,2.0,12,1.0
rftl_s_rec,2,0.2,2.0,13,1.0
rftl_s_rec,2,0.2,2.0,14,1.0
rftl_s_rec,2,0.2,2.0,15,1.0
rftl_s_rec,2,0.2,2.0,16,1.0
rftl_s_rec,2,0.2,2.0,17,1.0
rftl_s_rec,2,0.2,2.0,18,1.0
rftl_s_rec,2,0.2,2.0,19,1.0
rftl_s_rec,2,0.2,2.0,20,1.0
rftl_s_rec,2,0.2,2.0,21,1.0
rftl_s_rec,2,0.2,2.0,22,1.0
rftl_s_rec,2,0.2,2.0,23,1.0
rftl_s_rec,2,0.2,2.0,24,1.0
rftl_s_rec,2,0.2,2.0,25,1.0
rftl_s_rec,2,0.2,2.0,26,1.0
rftl_s_rec,2,0.2,2.0,27,1.0
rftl_s_rec,2,0.2,2.0,28,1.0
rftl_s_rec,2,0.2,2.0,29,1.0
rftl_s_rec,2,0.2,2.0,30,1.0
rftl_s_rec,2,0.2,2.0,31,1.0
rftl_s_rec,2,0.2,2.0,32,1.0
rftl_s_rec,2,0.2,2.0,33,1.0
rftl_s_rec,2,0.2,2.0,34,1.0
rftl_s_rec,2,0.2,2.0,35,1.0
rftl_s_rec,2,0.2,2.0,36,1.0
rftl_s_rec,2,0.2,2.0,37,1.0
rftl_s_rec,2,0.2,2.0,38,1.0
rftl_s_rec,2,0.2,2.0,39,1.0
rftl_s_rec,2,0.2,2.0,40,1.0
rftl_s_rec,2,0.2,2.0,41,1.0
rftl_s_rec,2,0.2,2.0,42,1.0
rftl_s_rec,2,0.2,2.0,43,1.0
rftl_s_rec,2,0.2,2.0,44,1.0
rftl_s_rec,2,0.2,2.0,45,1.0
rftl_s_rec,2,0.2,2.0,46,1.0
rftl_s_rec,2,0.2,2.0,47,1.0
rftl_s_rec,2,0.2,2.0,48,1.0
rftl_s_rec,2,0.2,2.0,49,1.0
rftl_s,2,0.2,2.0,0,0.047736727194558716
rftl_s,2,0.2,2.0,1,0.07227336472570753
rftl_s,2,0.2,2.0,2,0.07306040402457971
rftl_s,2,0.2,2.0,3,0.08015186737466332
rftl_s,2,0.2,2.0,4,0.07645749494670094
rftl_s,2,0.2,2.0,5,0.07784623215390514
rftl_s,2,0.2,2.0,6,0.08628895133859008
rftl_s,2,0.2,2.0,7,0.0786393416205932
rftl_s,2,0.2,2.0,8,0.059515271795421446
rftl_s,2,0.2,2.0,9,0.07910284358075993
rftl_s,2,0.2,2.0,10,0.09717441350462915
rftl_s,2,0.2,2.0,11,0.08000958110984042
rftl_s,2,0.2,2.0,12,0.04328280746627019
rftl_s,2,0.2,2.0,13,0.061213211479264285
rftl_s,2,0.2,2.0,14,0.05088697262978914
rftl_s,2,0.2,2.0,15,0.0701656739083439
rftl_s,2,0.2,2.0,16,0.07086109167202931
rftl_s,2,0.2,2.0,17,0.05534301432090327
rftl_s,2,0.2,2.0,18,0.04337452033261657
rftl_s,2,0.2,2.0,19,0.07206688132242918
rftl_s,2,0.2,2.0,20,0.07101438818424868
rftl_s,2,0.2,2.0,21,0.048533207209489476
rftl_s,2,0.2,2.0,22,0.05334918220633868
rftl_s,2,0.2,2.0,23,0.046522766142458385
rftl_s,2,0.2,2.0,24,0.07104736252574245
rftl_s,2,0.2,2.0,25,0.06133018502779254
rftl_s,2,0.2,2.0,26,0.04967395243493227
rftl_s,2,0.2,2.0,27,0.07923548890146655
rftl_s,2,0.2,2.0,28,0.048934754516848006
rftl_s,2,0.2,2.0,29,0.08639480017508253
rftl_s,2,0.2,2.0,30,0.07278068971954732
rftl_s,2,0.2,2.0,31,0.053245794594616
rftl_s,2,0.2,2.0,32,0.0786991214389535
rftl_s,2,0.2,2.0,33,0.06374457874977776
rftl_s,2,0.2,2.0,34,0.06061246201635975
rftl_s,2,0.2,2.0,35,0.06873311577540063
rftl_s,2,0.2,2.0,36,0.07818187057475116
rftl_s,2,0.2,2.0,37,0.04610276670752207
rftl_s,2,0.2,2.0,38,0.09680250877519882
rftl_s,2,0.2,2.0,39,0.08080241272524055
rftl_s,2,0.2,2.0,40,0.06921134595974178
rftl_s,2,0.2,2.0,41,0.07683641247003034
rftl_s,2,0.2,2.0,42,0.050851544035387934
rftl_s,2,0.2,2.0,43,0.04354811158342735
rftl_s,2,0.2,2.0,44,0.06016672240402807
rftl_s,2,0.2,2.0,45,0.0655658778065667
rftl_s,2,0.2,2.0,46,0.09654623584484846
rftl_s,2,0.2,2.0,47,0.04796513908893559
rftl_s,2,0.2,2.0,48,0.05499994400885876
rftl_s,2,0.2,2.0,49,0.05999560474709514
rftl_s_prec,2,0.2,3.0,0,1.0
rftl_s_prec,2,0.2,3.0,1,1.0
rftl_s_prec,2,0.2,3.0,2,1.0
rftl_s_prec,2,0.2,3.0,3,1.0
rftl_s_prec,2,0.2,3.0,4,1.0
rftl_s_prec,2,0.2,3.0,5,1.0
rftl_s_prec,2,0.2,3.0,6,1.0
rftl_s_prec,2,0.2,3.0,7,1.0
rftl_s_prec,2,0.2,3.0,8,1.0
rftl_s_prec,2,0.2,3.0,9,1.0
rftl_s_prec,2,0.2,3.0,10,1.0
rftl_s_prec,2,0.2,3.0,11,1.0
rftl_s_prec,2,0.2,3.0,12,1.0
rftl_s_prec,2,0.2,3.0,13,1.0
rftl_s_prec,2,0.2,3.0,14,1.0
rftl_s_prec,2,0.2,3.0,15,1.0
rftl_s_prec,2,0.2,3.0,16,1.0
rftl_s_prec,2,0.2,3.0,17,1.0
rftl_s_prec,2,0.2,3.0,18,1.0
rftl_s_prec,2,0.2,3.0,19,1.0
rftl_s_prec,2,0.2,3.0,20,1.0
rftl_s_prec,2,0.2,3.0,21,1.0
rftl_s_prec,2,0.2,3.0,22,1.0
rftl_s_prec,2,0.2,3.0,23,1.0
rftl_s_prec,2,0.2,3.0,24,1.0
rftl_s_prec,2,0.2,3.0,25,1.0
rftl_s_prec,2,0.2,3.0,26,1.0
rftl_s_prec,2,0.2,3.0,27,1.0
rftl_s_prec,2,0.2,3.0,28,1.0
rftl_s_prec,2,0.2,3.0,29,1.0
rftl_s_prec,2,0.2,3.0,30,1.0
rftl_s_prec,2,0.2,3.0,31,1.0
rftl_s_prec,2,0.2,3.0,32,1.0
rftl_s_prec,2,0.2,3.0,33,1.0
rftl_s_prec,2,0.2,3.0,34,1.0
rftl_s_prec,2,0.2,3.0,35,1.0
rftl_s_prec,2,0.2,3.0,36,1.0
rftl_s_prec,2,0.2,3.0,37,1.0
rftl_s_prec,2,0.2,3.0,38,1.0
rftl_s_prec,2,0.2,3.0,39,1.0
rftl_s_prec,2,0.2,3.0,40,1.0
rftl_s_prec,2,0.2,3.0,41,1.0
rftl_s_prec,2,0.2,3.0,42,1.0
rftl_s_prec,2,0.2,3.0,43,1.0
rftl_s_prec,2,0.2,3.0,44,1.0
rftl_s_prec,2,0.2,3.0,45,1.0
rftl_s_prec,2,0.2,3.0,46,1.0
rftl_s_prec,2,0.2,3.0,47,1.0
rftl_s_prec,2,0.2,3.0,48,1.0
rftl_s_prec,2,0.2,3.0,49,1.0
rftl_s_rec,2,0.2,3.0,0,1.0
rftl_s_rec,2,0.2,3.0,1,1.0
rftl_s_rec,2,0.2,3.0,2,1.0
rftl_s_rec,2,0.2,3.0,3,1.0
rftl_s_rec,2,0.2,3.0,4,1.0
rftl_s_rec,2,0.2,3.0,5,1.0
rftl_s_rec,2,0.2,3.0,6,1.0
rftl_s_rec,2,0.2,3.0,7,1.0
rftl_s_rec,2,0.2,3.0,8,1.0
rftl_s_rec,2,0.2,3.0,9,1.0
rftl_s_rec,2,0.2,3.0,10,1.0
rftl_s_rec,2,0.2,3.0,11,1.0
rftl_s_rec,2,0.2,3.0,12,1.0
rftl_s_rec,2,0.2,3.0,13,1.0
rftl_s_rec,2,0.2,3.0,14,1.0
rftl_s_rec,2,0.2,3.0,15,1.0
rftl_s_rec,2,0.2,3.0,16,1.0
rftl_s_rec,2,0.2,3.0,17,1.0
rftl_s_rec,2,0.2,3.0,18,1.0
rftl_s_rec,2,0.2,3.0,19,1.0
rftl_s_rec,2,0.2,3.0,20,1.0
rftl_s_rec,2,0.2,3.0,21,1.0
rftl_s_rec,2,0.2,3.0,22,1.0
rftl_s_rec,2,0.2,3.0,23,1.0
rftl_s_rec,2,0.2,3.0,24,1.0
rftl_s_rec,2,0.2,3.0,25,1.0
rftl_s_rec,2,0.2,3.0,26,1.0
rftl_s_rec,2,0.2,3.0,27,1.0
rftl_s_rec,2,0.2,3.0,28,1.0
rftl_s_rec,2,0.2,3.0,29,1.0
rftl_s_rec,2,0.2,3.0,30,1.0
rftl_s_rec,2,0.2,3.0,31,1.0
rftl_s_rec,2,0.2,3.0,32,1.0
rftl_s_rec,2,0.2,3.0,33,1.0
rftl_s_rec,2,0.2,3.0,34,1.0
rftl_s_rec,2,0.2,3.0,35,1.0
rftl_s_rec,2,0.2,3.0,36,1.0
rftl_s_rec,2,0.2,3.0,37,1.0
rftl_s_rec,2,0.2,3.0,38,1.0
rftl_s_rec,2,0.2,3.0,39,1.0
rftl_s_rec,2,0.2,3.0,40,1.0
rftl_s_rec,2,0.2,3.0,41,1.0
rftl_s_rec,2,0.2,3.0,42,1.0
rftl_s_rec,2,0.2,3.0,43,1.0
rftl_s_rec,2,0.2,3.0,44,1.0
rftl_s_rec,2,0.2,3.0,45,1.0
rftl_s_rec,2,0.2,3.0,46,1.0
rftl_s_rec,2,0.2,3.0,47,1.0
rftl_s_rec,2,0.2,3.0,48,1.0
rftl_s_rec,2,0.2,3.0,49,1.0
rftl_s,2,0.2,3.0,0,0.0463608194393353
rftl_s,2,0.2,3.0,1,0.07891188871802869
rftl_s,2,0.2,3.0,2,0.06991235109326605
rftl_s,2,0.2,3.0,3,0.0751596635913205
rftl_s,2,0.2,3.0,4,0.06210571588860743
rftl_s,2,0.2,3.0,5,0.07775601259271547
rftl_s,2,0.2,3.0,6,0.04435541087490713
rftl_s,2,0.2,3.0,7,0.08225019218270152
rftl_s,2,0.2,3.0,8,0.04103336196393124
rftl_s,2,0.2,3.0,9,0.05304316968619423
rftl_s,2,0.2,3.0,10,0.07547446929455855
rftl_s,2,0.2,3.0,11,0.04916544800514946
rftl_s,2,0.2,3.0,12,0.04572147348249711
rftl_s,2,0.2,3.0,13,0.06972398375304688
rftl_s,2,0.2,3.0,14,0.07265198316600953
