repeat,n_clients,check,agg,mode,pi_s,angle_deg,clean_client_residual
47644,8,heterogeneity,geometric_median,none,0.0,6.525582375146935,
47644,8,heterogeneity,krum,none,0.0,24.4413256610628,
47644,8,heterogeneity,multi_krum,none,0.0,3.5352271132992037,
47644,8,robustness,sum,hot_block,0.6,0.8471518218721452,81.57299090985285
47644,8,robustness,median,hot_block,0.6,9.849005830938708,81.57299090852555
47644,8,robustness,trimmed_mean,hot_block,0.6,1.162718790706728,81.57299090985532
47644,8,robustness,geometric_median,hot_block,0.6,17.43208355977582,81.57299090985359
47644,8,robustness,krum,hot_block,0.6,31.23443558094434,81.57299090985774
47644,8,robustness,multi_krum,hot_block,0.6,3.6872240010917126,81.57299090985295
47644,8,robustness,sum,hot_block,1.0,0.8233012828180273,81.57299090985289
47644,8,robustness,median,hot_block,1.0,9.773398628795649,81.57299090862715
47644,8,robustness,trimmed_mean,hot_block,1.0,1.1743050824990298,81.57299090985228
47644,8,robustness,geometric_median,hot_block,1.0,17.53121533719061,81.57299090985359
47644,8,robustness,krum,hot_block,1.0,31.23443558094434,81.57299090985774
47644,8,robustness,multi_krum,hot_block,1.0,3.6872240010917126,81.57299090985295
