repeat,method,noise_mult,pi_s,rank,mape,aic,rss,beta_ranks,beta_dim
0,clean,0,0.0,"[2, 2, 3]",,inf,,None,
0,clean,0,0.0,"[3, 3, 4]",0.07502886496537982,-119.73158036191089,0.1007083725352096,"(3, 3, 2)",18.0
0,clean,0,0.0,"[4, 4, 5]",0.07153185979504285,-112.44133364770897,0.0978791007752704,"(3, 3, 3)",27.0
0,clean,0,0.0,"[5, 5, 6]",0.1402590299271018,15.8766046048639,0.3434467309680084,"(4, 4, 5)",80.0
0,clean,0,0.0,"[6, 6, 7]",1.1265649547493204,353.70538115445646,29.817327549106572,"(5, 5, 6)",150.0
0,clean,0,0.0,"[7, 7, 9]",0.9371701621681839,432.1617424314033,20.139754694272654,"(6, 6, 7)",252.0
0,clean,0,0.0,"[8, 8, 9]",11.503532626555945,820.7653436878388,2871.976443844993,"(7, 7, 7)",343.0
0,clean,0,0.0,"[9, 9, 11]",26.749439465102224,1159.7180315754408,16791.596964767614,"(8, 8, 9)",576.0
0,clean,0,0.0,"[10, 10, 11]",22.352212130519952,1275.02994039659,8959.762568887976,"(9, 9, 9)",729.0
0,baseline,2,0.1,"[2, 2, 3]",,inf,,None,
0,baseline,2,0.1,"[3, 3, 4]",0.059924490719397226,-140.86855688676772,0.07080615964394334,"(3, 2, 3)",18.0
0,baseline,2,0.1,"[4, 4, 5]",0.06681298977655283,-113.79630094058913,0.08236414949571703,"(3, 3, 4)",36.0
0,baseline,2,0.1,"[5, 5, 6]",0.7053866440887296,241.92701878708752,10.64883304719061,"(5, 4, 5)",100.0
0,baseline,2,0.1,"[6, 6, 7]",20.572351678849774,699.0062465739019,9415.420563073516,"(5, 5, 6)",150.0
0,baseline,2,0.1,"[7, 7, 9]",7.308273903701713,672.1008702830161,1098.478337309091,"(6, 6, 7)",252.0
0,baseline,2,0.1,"[8, 8, 9]",13.054988968497442,832.6525786743105,3501.253447557186,"(7, 7, 7)",343.0
0,baseline,2,0.1,"[9, 9, 11]",5.167955950611536,961.0250552708537,612.2154447782043,"(8, 8, 9)",576.0
0,baseline,2,0.1,"[10, 10, 11]",21.837115307308935,1119.698398387705,8618.272806699633,"(8, 8, 9)",576.0
0,baseline,2,0.3,"[2, 2, 3]",0.08669697135551628,-103.48719911441135,0.1559655724922638,"(2, 2, 2)",8.0
0,baseline,2,0.3,"[3, 3, 4]",0.06938627414701364,-117.72591858227338,0.0896270019781765,"(3, 3, 3)",27.0
0,baseline,2,0.3,"[4, 4, 5]",0.06601710795687031,-119.17723500236252,0.08748505938887806,"(3, 3, 3)",27.0
0,baseline,2,0.3,"[5, 5, 6]",0.35156403567687616,148.65569408447507,2.2499955416854927,"(5, 4, 5)",100.0
0,baseline,2,0.3,"[6, 6, 7]",0.48133391677026743,239.54755943710396,4.448021203681891,"(5, 5, 6)",150.0
0,baseline,2,0.3,"[7, 7, 9]",0.366613018832678,302.4854084834606,2.3196666145431544,"(6, 6, 7)",252.0
