repeat,method,mode,amplitude,pi_s,limit_user0,far_user0,power_user0,auc_user0,det_ttf_user0,limit_user1,far_user1,power_user1,auc_user1,det_ttf_user1,limit_user2,far_user2,power_user2,auc_user2,det_ttf_user2,precision,recall
0,clean,none,0.0,0.0,70.34456694361802,0.42857142857142855,0.8636363636363636,0.8831168831168831,32.0,112.01646168492445,0.0,0.8,0.9714285714285714,35.0,149.34850748094016,0.375,0.8888888888888888,0.9212962962962963,36.0,,
0,baseline,hot_block,10.0,0.3,90.73580330465872,0.0,0.45454545454545453,0.8571428571428571,28.0,112.01646168491948,0.0,0.8,0.9714285714285714,35.0,149.3485074808882,0.375,0.8888888888888888,0.9212962962962963,36.0,,
0,rftl_s,hot_block,10.0,0.3,90.70566718330718,0.0,0.45454545454545453,0.8571428571428571,28.0,112.01646168495313,0.0,0.8,0.9714285714285714,35.0,149.34850748095397,0.375,0.8888888888888888,0.9212962962962963,36.0,1.0,0.2
0,baseline,hot_block,10.0,0.6,75.20386703287755,0.42857142857142855,0.8636363636363636,0.9415584415584415,31.0,112.0164616849205,0.0,0.8,0.9714285714285714,35.0,149.34850748090503,0.375,0.8888888888888888,0.9212962962962963,36.0,,
0,rftl_s,hot_block,10.0,0.6,75.2016376780088,0.42857142857142855,0.8636363636363636,0.9415584415584415,31.0,112.01646168490515,0.0,0.8,0.9714285714285714,35.0,149.34850748098697,0.375,0.8888888888888888,0.9212962962962963,36.0,1.0,0.2
0,baseline,stripe,10.0,0.3,78.37587030471835,0.0,0.6363636363636364,0.8701298701298701,31.0,112.01646168494524,0.0,0.8,0.9714285714285714,35.0,149.348507480937,0.375,0.8888888888888888,0.9212962962962963,36.0,,
0,rftl_s,stripe,10.0,0.3,78.37587030471991,0.0,0.6363636363636364,0.8701298701298701,31.0,112.01646168494625,0.0,0.8,0.9714285714285714,35.0,149.34850748093714,0.375,0.8888888888888888,0.9212962962962963,36.0,0.0,0.0
0,baseline,stripe,10.0,0.6,71.9146537869287,0.42857142857142855,0.7272727272727273,0.8246753246753247,31.0,112.01646168493785,0.0,0.8,0.9714285714285714,35.0,149.3485074809377,0.375,0.8888888888888888,0.9212962962962963,36.0,,
0,rftl_s,stripe,10.0,0.6,71.91465378692749,0.42857142857142855,0.7272727272727273,0.8246753246753247,31.0,112.01646168493443,0.0,0.8,0.9714285714285714,35.0,149.34850748093777,0.375,0.8888888888888888,0.9212962962962963,36.0,0.0,0.0
1,clean,none,0.0,0.0,73.37439910952867,0.2857142857142857,0.7272727272727273,0.8376623376623377,31.0,106.35170095499355,0.2857142857142857,0.8,0.8857142857142858,31.0,147.3428338862592,0.125,0.9259259259259259,0.9398148148148149,28.0,,
1,baseline,hot_block,10.0,0.3,92.2071242688622,0.0,0.4090909090909091,0.7662337662337662,28.0,106.35170095499493,0.2857142857142857,0.8,0.8857142857142858,31.0,147.34283388622885,0.125,0.9259259259259259,0.9398148148148149,28.0,,
1,rftl_s,hot_block,10.0,0.3,92.20712426879578,0.0,0.4090909090909091,0.7662337662337662,28.0,106.35170095497749,0.2857142857142857,0.8,0.8857142857142858,31.0,147.34283388627912,0.125,0.9259259259259259,0.9398148148148149,28.0,0.0,0.0
1,baseline,hot_block,10.0,0.6,82.60530410538527,0.14285714285714285,0.6363636363636364,0.8311688311688311,30.0,106.3517009549781,0.2857142857142857,0.8,0.8857142857142858,31.0,147.34283388623686,0.125,0.9259259259259259,0.9398148148148149,28.0,,
1,rftl_s,hot_block,10.0,0.6,82.60530410544627,0.14285714285714285,0.6363636363636364,0.8311688311688311,30.0,106.35170095498496,0.2857142857142857,0.8,0.8857142857142858,31.0,147.34283388624584,0.125,0.9259259259259259,0.9398148148148149,28.0,0.0,0.0
1,baseline,stripe,10.0,0.3,75.78204597668709,0.14285714285714285,0.6363636363636364,0.8246753246753247,30.0,106.35170095499296,0.2857142857142857,0.8,0.8857142857142858,31.0,147.34283388626224,0.125,0.9259259259259259,0.9398148148148149,28.0,,
1,rftl_s,stripe,10.0,0.3,75.78204597668326,0.14285714285714285,0.6363636363636364,0.8246753246753247,30.0,106.35170095499316,0.2857142857142857,0.8,0.8857142857142858,31.0,147.3428338862588,0.125,0.9259259259259259,0.9398148148148149,28.0,0.0,0.0
1,baseline,stripe,10.0,0.6,76.447285901734,0.14285714285714285,0.6363636363636364,0.8376623376623377,30.0,106.35170095499245,0.2857142857142857,0.8,0.8857142857142858,31.0,147.34283388625832,0.125,0.9259259259259259,0.9398148148148149,28.0,,
1,rftl_s,stripe,10.0,0.6,76.44728590173284,0.14285714285714285,0.6363636363636364,0.8376623376623377,30.0,106.3517009549934,0.2857142857142857,0.8,0.8857142857142858,31.0,147.34283388625985,0.125,0.9259259259259259,0.9398148148148149,28.0,0.0,0.0
