repeat,method,mode,amplitude,pi_s,limit_user0,far_user0,power_user0,auc_user0,det_ttf_user0,limit_user1,far_user1,power_user1,auc_user1,det_ttf_user1,limit_user2,far_user2,power_user2,auc_user2,det_ttf_user2,precision,recall
0,clean,none,0.0,0.0,60.856674431387205,0.42857142857142855,0.8636363636363636,0.8506493506493507,32.0,86.94328759943302,0.42857142857142855,1.0,0.96,35.0,124.27922841020337,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,baseline,hot_block,10.0,0.3,68.63656443476407,0.2857142857142857,0.6818181818181818,0.8246753246753247,31.0,86.9476483283012,0.42857142857142855,1.0,0.96,35.0,124.27922633059723,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.3,60.73643804601042,0.42857142857142855,0.9090909090909091,0.8506493506493507,32.0,86.9577201267889,0.42857142857142855,1.0,0.9657142857142857,35.0,124.27939726047933,0.5,0.9259259259259259,0.8796296296296297,36.0,1.0,1.0
0,baseline,hot_block,10.0,0.6,58.41338525380122,0.5714285714285714,0.8636363636363636,0.7922077922077922,32.0,86.94328759940437,0.42857142857142855,1.0,0.96,35.0,124.27922841020192,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.6,58.4133852538678,0.5714285714285714,0.8636363636363636,0.7922077922077922,32.0,86.94328758137675,0.42857142857142855,1.0,0.96,35.0,124.27922841020782,0.5,0.9259259259259259,0.8796296296296297,36.0,0.0,0.0
0,baseline,stripe,10.0,0.3,62.34079038279295,0.42857142857142855,0.8181818181818182,0.8116883116883117,31.0,86.94328759942309,0.42857142857142855,1.0,0.96,35.0,124.27922841017846,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,stripe,10.0,0.3,62.34079038255656,0.42857142857142855,0.8181818181818182,0.8116883116883117,31.0,86.94328757153441,0.42857142857142855,1.0,0.96,35.0,124.27922841037002,0.5,0.9259259259259259,0.8796296296296297,36.0,0.0,0.0
0,baseline,stripe,10.0,0.6,64.51863481015135,0.42857142857142855,0.7727272727272727,0.8246753246753247,31.0,86.94328759959933,0.42857142857142855,1.0,0.96,35.0,124.2792284102168,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,stripe,10.0,0.6,64.51863481031215,0.42857142857142855,0.7727272727272727,0.8246753246753247,31.0,86.94328759942564,0.42857142857142855,1.0,0.96,35.0,124.27922841019725,0.5,0.9259259259259259,0.8796296296296297,36.0,0.0,0.0
1,clean,none,0.0,0.0,58.02220142007043,0.7142857142857143,1.0,0.8246753246753247,32.0,91.24381246307289,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884066144,0.375,0.9259259259259259,0.9351851851851851,28.0,,
