repeat,method,mode,amplitude,pi_s,block,limit_user0,far_user0,power_user0,auc_user0,det_ttf_user0,limit_user1,far_user1,power_user1,auc_user1,det_ttf_user1,limit_user2,far_user2,power_user2,auc_user2,det_ttf_user2,precision,recall
1,rftl_s,hot_block,10.0,0.3,5,62.28462111245567,0.5714285714285714,0.8636363636363636,0.8116883116883117,31.0,94.74499789650915,0.2857142857142857,0.84,0.8742857142857142,32.0,123.95778128798355,0.5,1.0,0.9583333333333333,28.0,0.12903225806451613,0.8
1,baseline,hot_block,10.0,0.6,5,56.760633228645275,0.7142857142857143,1.0,0.7792207792207793,32.0,91.24381246300598,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884059812,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,hot_block,10.0,0.6,5,58.772920509838926,0.7142857142857143,0.9545454545454546,0.8051948051948051,32.0,94.74489993789834,0.2857142857142857,0.84,0.8742857142857142,32.0,123.9577824721702,0.5,1.0,0.9583333333333333,28.0,0.16129032258064516,0.5
2,clean,none,0.0,0.0,0,54.44919441622027,0.8571428571428571,0.9545454545454546,0.6623376623376623,32.0,93.92584687166621,0.375,0.875,0.8697916666666666,31.0,135.25886407772103,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,baseline,hot_block,10.0,0.3,9,316.0964269415769,0.0,0.0,0.7077922077922078,,98.20716220859511,0.5,0.875,0.84375,31.0,136.25870736833787,0.2222222222222222,0.8076923076923077,0.888888888888889,33.0,,
2,rftl_s,hot_block,10.0,0.3,9,67.80366853447462,0.42857142857142855,0.5909090909090909,0.7207792207792207,32.0,94.74557320002292,0.5,0.8333333333333334,0.8489583333333333,31.0,133.31392897034874,0.2222222222222222,0.8846153846153846,0.8589743589743589,33.0,0.02857142857142857,0.2
2,baseline,hot_block,10.0,0.6,9,59.626969440118934,0.5714285714285714,0.8636363636363636,0.7467532467532467,32.0,93.92584687160864,0.375,0.875,0.8697916666666666,31.0,135.25886407762783,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,rftl_s,hot_block,10.0,0.6,9,43.45699702428098,1.0,1.0,0.7207792207792207,32.0,96.9991285277415,0.375,0.875,0.875,31.0,131.49823931983394,0.2222222222222222,0.8846153846153846,0.8589743589743589,33.0,0.13333333333333333,0.4
2,baseline,hot_block,10.0,0.3,5,56.11871722219535,0.5714285714285714,0.9090909090909091,0.6948051948051949,32.0,93.92584687163725,0.375,0.875,0.8697916666666666,31.0,135.25886407790807,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,rftl_s,hot_block,10.0,0.3,5,56.24513907289247,0.5714285714285714,0.9090909090909091,0.6948051948051949,32.0,94.75017010228385,0.5,0.8333333333333334,0.8489583333333333,31.0,135.47045121981014,0.2222222222222222,0.8076923076923077,0.9273504273504274,33.0,0.0,0.0
2,baseline,hot_block,10.0,0.6,5,55.63284935140282,0.5714285714285714,0.9090909090909091,0.6948051948051949,32.0,93.92584687166533,0.375,0.875,0.8697916666666666,31.0,135.2588640777683,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,rftl_s,hot_block,10.0,0.6,5,55.40978073185775,0.5714285714285714,0.9090909090909091,0.7077922077922078,32.0,94.74971943884987,0.5,0.8333333333333334,0.8489583333333333,31.0,135.47045124996234,0.2222222222222222,0.8076923076923077,0.9273504273504274,33.0,0.0,0.0
3,clean,none,0.0,0.0,0,60.77732672173554,0.75,0.8421052631578947,0.7171052631578947,31.0,97.91489876458081,0.42857142857142855,0.88,0.822857142857143,31.0,134.0288283111135,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,baseline,hot_block,10.0,0.3,9,75.96763140441234,0.125,0.5789473684210527,0.7960526315789473,28.0,97.9148987740756,0.42857142857142855,0.88,0.822857142857143,31.0,134.02882831105921,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,rftl_s,hot_block,10.0,0.3,9,71.49277732622637,0.25,0.5789473684210527,0.763157894736842,30.0,99.14860512494462,0.42857142857142855,0.88,0.8400000000000001,31.0,126.77622815545428,0.5,0.9629629629629629,0.912037037037037,30.0,0.04,0.16666666666666666
3,baseline,hot_block,10.0,0.6,9,58.246442712209486,0.75,0.9473684210526315,0.7302631578947368,31.0,97.91807279829138,0.42857142857142855,0.88,0.822857142857143,31.0,134.0288578959167,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,rftl_s,hot_block,10.0,0.6,9,45.3600382885503,1.0,1.0,0.7039473684210527,33.0,99.14895066790007,0.42857142857142855,0.88,0.8400000000000001,31.0,126.75609750651361,0.5,0.9629629629629629,0.912037037037037,30.0,0.24,0.5454545454545454
3,baseline,hot_block,10.0,0.3,5,58.19598455910197,0.75,0.9473684210526315,0.743421052631579,33.0,97.91489876456404,0.42857142857142855,0.88,0.822857142857143,31.0,134.02882831110537,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,rftl_s,hot_block,10.0,0.3,5,57.49118448696889,0.75,0.9473684210526315,0.7368421052631579,33.0,99.14860668912235,0.42857142857142855,0.88,0.8400000000000001,31.0,126.77621604159599,0.5,0.9629629629629629,0.912037037037037,30.0,0.09090909090909091,0.3333333333333333
3,baseline,hot_block,10.0,0.6,5,56.64710010190222,0.75,0.9473684210526315,0.7105263157894737,33.0,97.8914810577817,0.42857142857142855,0.88,0.822857142857143,31.0,134.03048795409512,0.5,0.9629629629629629,0.9398148148148148,30.0,,
3,rftl_s,hot_block,10.0,0.6,5,59.213416439992386,0.75,0.8947368421052632,0.7105263157894737,31.0,99.16868309801765,0.42857142857142855,0.88,0.8342857142857143,31.0,126.77623840752379,0.5,0.9629629629629629,0.912037037037037,30.0,0.05555555555555555,0.09090909090909091
4,clean,none,0.0,0.0,0,59.71268987798058,0.2857142857142857,0.8,0.85,31.0,84.31798771026257,0.5714285714285714,1.0,0.9199999999999999,34.0,119.18249274006995,0.5,0.8518518518518519,0.912037037037037,31.0,,
4,baseline,hot_block,10.0,0.3,9,74.1548339162392,0.0,0.4,0.8785714285714286,29.0,84.31823429546135,0.5714285714285714,1.0,0.9199999999999999,34.0,119.18249274008048,0.5,0.8518518518518519,0.912037037037037,31.0,,
4,rftl_s,hot_block,10.0,0.3,9,61.96796656809412,0.2857142857142857,0.9,0.9214285714285714,32.0,86.98051207460884,0.42857142857142855,1.0,0.9542857142857143,34.0,125.67914520608011,0.125,0.8518518518518519,0.9166666666666666,31.0,0.0,0.0
4,baseline,hot_block,10.0,0.6,9,414.05833051096954,0.0,0.0,0.8928571428571428,,100.79590115365197,0.14285714285714285,0.84,0.9028571428571428,34.0,139.13807609355786,0.25,0.8518518518518519,0.8935185185185186,31.0,,
4,rftl_s,hot_block,10.0,0.6,9,52.34146247550629,0.8571428571428571,1.0,0.9214285714285714,32.0,87.04272719181506,0.42857142857142855,1.0,0.9542857142857143,34.0,125.27097041761354,0.125,0.8518518518518519,0.9166666666666666,31.0,0.1,0.2727272727272727
4,baseline,hot_block,10.0,0.3,5,59.736235228119654,0.42857142857142855,0.9,0.8785714285714286,32.0,84.31798771516169,0.5714285714285714,1.0,0.9199999999999999,34.0,119.18249274019577,0.5,0.8518518518518519,0.912037037037037,31.0,,
4,rftl_s,hot_block,10.0,0.3,5,59.00228163034851,0.42857142857142855,0.95,0.9071428571428571,32.0,88.27801560615255,0.42857142857142855,1.0,0.9485714285714286,34.0,125.38215858835294,0.125,0.8518518518518519,0.9166666666666666,31.0,0.034482758620689655,0.16666666666666666
4,baseline,hot_block,10.0,0.6,5,55.098155778131115,0.7142857142857143,1.0,0.8785714285714286,32.0,84.31798771031241,0.5714285714285714,1.0,0.9199999999999999,34.0,119.1824927400911,0.5,0.8518518518518519,0.912037037037037,31.0,,
4,rftl_s,hot_block,10.0,0.6,5,55.86554697652075,0.7142857142857143,1.0,0.9071428571428571,32.0,86.98051203399426,0.42857142857142855,1.0,0.9542857142857143,34.0,125.67914520610924,0.125,0.8518518518518519,0.9166666666666666,31.0,0.13793103448275862,0.36363636363636365
