method,mode,pi_s,huber_k,repeat,selected_rank,mape,median,q25,q75,mape_user0,median_user0,mape_user1,median_user1,mape_user2,median_user2,value
clean,none,0.0,,23,"[3, 3, 4]",0.05835403721498933,0.04815180066243639,0.02496529128974939,0.08997210578777443,0.06929602776477636,0.07777573556600666,0.04391373554380553,0.04526996395230891,0.06185234833638607,0.03641461508049514,
clean,none,0.0,,24,"[3, 3, 4]",0.05235341268080194,0.04140640477123176,0.02122799343067213,0.0633663710072393,0.05780094355643811,0.05148877988302773,0.06729531104880628,0.04488628197793787,0.03196398343716146,0.029635280781763664,
clean,none,0.0,,25,"[4, 4, 5]",0.05784580371584282,0.04717639014443553,0.022083499866685476,0.08974106643344286,0.07297005085576092,0.0734673627227955,0.039835341589912164,0.03464503515857226,0.06073201870185537,0.04132183559303651,
clean,none,0.0,,26,"[3, 3, 4]",0.055956201845165685,0.04758460361766387,0.0255337269067884,0.0897023458336987,0.061141005667759526,0.045448132932013094,0.04510417366220043,0.03640419685889277,0.0616234262055371,0.06215488093299311,
clean,none,0.0,,27,"[3, 3, 4]",0.07536458026637803,0.043180511462327986,0.02057821748204751,0.07546070510992517,0.14956487161348042,0.09251919212410052,0.04282381825175392,0.03154441603518529,0.03370505093389981,0.020504295453171964,
clean,none,0.0,,28,"[4, 4, 5]",0.08611806000058563,0.06438512158637516,0.027884330517853828,0.12131061244393924,0.11269642554424442,0.10449490581862475,0.07753160001933011,0.07250579768976304,0.06812615443818235,0.0472699519264195,
clean,none,0.0,,29,"[3, 3, 4]",0.051099474957450756,0.042778866176862315,0.014525765137541957,0.060573549571357486,0.04748190172100773,0.04390035583025309,0.05028561430009557,0.0387577622637614,0.055530908851248985,0.04681147132333868,
clean,none,0.0,,30,"[3, 3, 4]",0.08465016104896933,0.06926300824739601,0.043423908319898216,0.10958303396924075,0.09000757407809154,0.08991080688779421,0.05794048886121291,0.056640299048265966,0.1060024202076035,0.07840953731580111,
clean,none,0.0,,31,"[3, 3, 4]",0.04932850067053223,0.03740251191038954,0.024487732301137936,0.06410083036734592,0.052948179702198804,0.039323415700900546,0.04858319413096565,0.04280064664046855,0.046454128178432294,0.031137574066125454,
clean,none,0.0,,32,"[3, 3, 4]",0.09915562432662492,0.07102308927739151,0.03501177761930244,0.14840250140463265,0.0872068923793915,0.06826909469679765,0.09754325149175748,0.07223556202737433,0.11271672910872585,0.07874055335384149,
clean,none,0.0,,33,"[3, 3, 4]",0.05190620105715807,0.04424635491033687,0.01986451318446171,0.07466996969417153,0.0627375960534427,0.058923596953909564,0.04896583863757776,0.03218755956473186,0.04401516848045378,0.031620172779574865,
clean,none,0.0,,34,"[3, 3, 4]",0.09225945530476153,0.0804229924007479,0.0274850738464612,0.12982135952232798,0.08011522932081973,0.0887530773777117,0.09831428678253638,0.051712609615288896,0.09834884981092847,0.08789045056998876,
clean,none,0.0,,35,"[3, 3, 4]",0.08143577017244129,0.07147526524151482,0.04434131594989125,0.12747139362299795,0.07761735459112422,0.07704492671935075,0.06696870178818229,0.0617643051497678,0.09972125413801732,0.12669726862718228,
clean,none,0.0,,36,"[3, 3, 4]",0.037225069817871534,0.029972688816120332,0.012007522660145197,0.05693786408950944,0.037489805771879124,0.030469561229540934,0.02448524063434554,0.01960102847400716,0.04970016304738992,0.050068616323134904,
clean,none,0.0,,37,"[3, 3, 4]",0.08299874675818932,0.06712750600004813,0.02946568461013395,0.11008332262296207,0.095338112367713,0.08551428848942468,0.0707958829127554,0.052841099069108076,0.08286224499409947,0.06891091242705534,
clean,none,0.0,,38,"[2, 2, 3]",0.08313745904829091,0.066337847648225,0.03865016835998815,0.10295598958987076,0.1283178384716725,0.10793974835087441,0.05399618828342788,0.04383096622283288,0.0670983503897723,0.06684725651787247,
clean,none,0.0,,39,"[4, 4, 5]",0.06427169660900973,0.05607376997704252,0.026878438114537558,0.08494269429113604,0.07130841234274604,0.05431169395688969,0.06677020229183574,0.05705606408561166,0.0547364751924474,0.0500693483008469,
clean,none,0.0,,40,"[4, 4, 5]",0.06802521104651534,0.0535592606767253,0.02531233472613701,0.08978138648700883,0.07795698200261725,0.049967284226548,0.04803145832307355,0.033906178345211375,0.07808719281385522,0.06376740104319982,
clean,none,0.0,,41,"[3, 3, 4]",0.08141912928765323,0.07085018062794195,0.03699809141792069,0.1076503933575921,0.10935562969589294,0.08609133921718748,0.05811520979035665,0.041616960006195136,0.07678654837671009,0.07189881522399424,
clean,none,0.0,,42,"[4, 4, 5]",0.0668575859287103,0.05636893051944327,0.02621502693976315,0.10230070974022457,0.06632129491656837,0.055183942025686716,0.07203045602038208,0.0686580329618481,0.06222100684918047,0.04200168332764614,
clean,none,0.0,,43,"[3, 3, 4]",0.0712095479854753,0.06125290796462962,0.02413857940711295,0.10219559866383815,0.07493538761661654,0.06679694385566023,0.05025899779061096,0.04906987649748042,0.08843425854919841,0.09181306766907779,
clean,none,0.0,,44,"[2, 2, 3]",0.07061124809284751,0.06104616741519945,0.027078094582508063,0.09399579907554358,0.06280665640308211,0.06360370442361256,0.10289241180211242,0.07344016905957107,0.04613467607334799,0.029133396093056898,
clean,none,0.0,,45,"[4, 4, 5]",0.05212829742629491,0.039568536861917546,0.01923045020715119,0.07563355292388055,0.04236824037347835,0.03510008149170249,0.04913834044966397,0.04269269740850295,0.06487831145574241,0.04462276723626661,
clean,none,0.0,,46,"[3, 3, 4]",0.08191462705621916,0.08066936637508046,0.03377853341250958,0.11306707603335184,0.10586589724773598,0.0659354518237681,0.07244563531393396,0.08226394651961749,0.06743234860698753,0.0789737060591641,
clean,none,0.0,,47,"[3, 3, 4]",0.06498752060963368,0.0523641167994639,0.029886669336537698,0.09221125552575109,0.06041564911165764,0.042667424138121975,0.0636611924183953,0.06492125408387267,0.07088572029884818,0.05462761286104445,
clean,none,0.0,,48,"[4, 4, 5]",0.05593221738415847,0.04526387294157323,0.02018059299529619,0.0792327627052205,0.05303409139490591,0.04034454808959883,0.07014011813988416,0.0736140250870731,0.044622442617685346,0.03505468824759876,
clean,none,0.0,,49,"[2, 2, 3]",0.0608318250770354,0.054276273618706045,0.03604087486957098,0.08523511126168644,0.06219641679877055,0.0565559968306492,0.05994191582057283,0.053520571052752236,0.06035714261176282,0.04827619910002359,
oracle,hot_block,0.3,,0,"[3, 3, 4]",0.11751705110480737,0.08944600556775786,0.041692669761397134,0.16281154876788267,0.16597515594497472,0.09408393048891438,0.08268971599675477,0.054229487997732376,0.1038862813726926,0.0806655973077202,
oracle,hot_block,0.3,,1,"[2, 2, 3]",0.27528930633772536,0.11997489248983044,0.050391361456746456,0.20113915280039402,0.5868078766302187,0.18144194491778573,0.11819106283448115,0.10586626954136791,0.12086897954847609,0.11086236843290061,
oracle,hot_block,0.3,,2,"[4, 4, 5]",0.10620028725122797,0.0565285820636254,0.02843688489570574,0.10060865977114193,0.20790352076822088,0.10314207297036448,0.04575722797703412,0.03823046166282022,0.06494011300842889,0.057778837089759026,
oracle,hot_block,0.3,,3,"[2, 2, 3]",0.08569844462340734,0.049345125521653654,0.0319236923337704,0.08779112134053473,0.15594874249026341,0.07079525919669119,0.03872136562012338,0.03539370818543296,0.06242522575983521,0.05394939990189704,
oracle,hot_block,0.3,,4,"[3, 3, 4]",0.08581486967802936,0.06945516750009889,0.02538478768626179,0.1089678837319251,0.12002493535025612,0.06678589912968626,0.07173308806977349,0.08372696123134987,0.06568658561405848,0.05848187493406558,
oracle,hot_block,0.3,,5,"[3, 3, 4]",0.421479418681342,0.09084576135940436,0.047711536729957774,0.21484122929042226,1.0780451451110877,0.2001951807223793,0.08492179766169045,0.08430158326569692,0.10147131327124784,0.06341464537905528,
