repeat,method,mode,amplitude,pi_s,block,limit_user0,far_user0,power_user0,auc_user0,det_ttf_user0,limit_user1,far_user1,power_user1,auc_user1,det_ttf_user1,limit_user2,far_user2,power_user2,auc_user2,det_ttf_user2,precision,recall
0,clean,none,0.0,0.0,0,60.85667443139736,0.42857142857142855,0.8636363636363636,0.8506493506493507,32.0,86.94328759943157,0.42857142857142855,1.0,0.96,35.0,124.27922841020086,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,baseline,hot_block,10.0,0.3,9,68.62128184464751,0.2857142857142857,0.6818181818181818,0.8246753246753247,31.0,87.09245483385224,0.42857142857142855,1.0,0.96,35.0,124.30586236671033,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.3,9,61.24360305433889,0.42857142857142855,0.9090909090909091,0.8506493506493507,32.0,86.9374547618421,0.42857142857142855,1.0,0.96,35.0,124.2792085842044,0.5,0.9259259259259259,0.8796296296296297,36.0,1.0,1.0
0,baseline,hot_block,10.0,0.4,9,449.5437454541142,0.0,0.0,0.8311688311688312,,101.80264945255927,0.0,0.96,0.9828571428571428,35.0,142.203752616494,0.375,0.8518518518518519,0.8703703703703703,35.0,,
0,rftl_s,hot_block,10.0,0.4,9,62.82582202911561,0.42857142857142855,0.8636363636363636,0.8051948051948051,32.0,86.93364266031605,0.42857142857142855,1.0,0.96,35.0,124.27922841045398,0.5,0.9259259259259259,0.8796296296296297,36.0,0.0,0.0
0,baseline,hot_block,10.0,0.5,9,67.17680736471532,0.42857142857142855,0.7727272727272727,0.8571428571428571,31.0,86.91417089858922,0.42857142857142855,1.0,0.96,35.0,124.27893660013396,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.5,9,67.17778519704777,0.42857142857142855,0.7727272727272727,0.8571428571428571,31.0,86.89498611340397,0.42857142857142855,1.0,0.96,35.0,124.27893780877767,0.5,0.9259259259259259,0.8796296296296297,36.0,0.0,0.0
0,baseline,hot_block,10.0,0.6,9,55.983068903760454,0.5714285714285714,0.9545454545454546,0.8701298701298702,32.0,86.94240842695628,0.42857142857142855,1.0,0.96,35.0,124.27922839019823,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.6,9,55.98306893462703,0.5714285714285714,0.9545454545454546,0.8701298701298702,32.0,86.94328759947004,0.42857142857142855,1.0,0.96,35.0,124.27922841025853,0.5,0.9259259259259259,0.8796296296296297,36.0,0.0,0.0
0,baseline,hot_block,10.0,0.8,9,46.68951734990587,0.8571428571428571,1.0,0.8506493506493507,32.0,87.77578538929987,0.42857142857142855,1.0,0.9657142857142857,35.0,124.37345078137326,0.5,0.9629629629629629,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,0.8,9,1213.7637168299707,0.0,0.0,0.7467532467532467,,171.33499239729156,0.0,0.36,0.9314285714285713,32.0,223.2419304059605,0.0,0.2962962962962963,0.736111111111111,32.0,0.0,0.0
0,baseline,hot_block,10.0,1.0,9,25.44478164486165,1.0,1.0,0.8506493506493507,32.0,86.91034738875793,0.42857142857142855,1.0,0.96,35.0,124.27207497321378,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,hot_block,10.0,1.0,9,25.44377845988561,1.0,1.0,0.8506493506493507,32.0,86.86144812873845,0.42857142857142855,1.0,0.96,35.0,124.2719608848109,0.5,0.9259259259259259,0.8796296296296297,36.0,0.0,0.0
0,baseline,stripe,10.0,0.6,9,64.56450572877564,0.42857142857142855,0.7727272727272727,0.8181818181818182,31.0,86.94327822622722,0.42857142857142855,1.0,0.96,35.0,124.27922841020964,0.5,0.9259259259259259,0.8796296296296297,36.0,,
0,rftl_s,stripe,10.0,0.6,9,64.56450572887324,0.42857142857142855,0.7727272727272727,0.8181818181818182,31.0,86.94328759943497,0.42857142857142855,1.0,0.96,35.0,124.27922841019848,0.5,0.9259259259259259,0.8796296296296297,36.0,0.0,0.0
1,clean,none,0.0,0.0,0,58.02220142008199,0.7142857142857143,1.0,0.8246753246753247,32.0,91.2438124630973,0.42857142857142855,0.88,0.8914285714285713,32.0,129.3767688406163,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,baseline,hot_block,10.0,0.3,9,70.40274982484024,0.14285714285714285,0.5909090909090909,0.7792207792207793,30.0,91.24330048121983,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676885415775,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,hot_block,10.0,0.3,9,70.40274982484212,0.14285714285714285,0.5909090909090909,0.7792207792207793,30.0,91.24381246309561,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884063262,0.375,0.9259259259259259,0.9351851851851851,28.0,0.0,0.0
1,baseline,hot_block,10.0,0.4,9,61.850019309193705,0.7142857142857143,0.8636363636363636,0.7792207792207793,32.0,91.24389606190684,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676886040617,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,hot_block,10.0,0.4,9,61.85005933157693,0.7142857142857143,0.8636363636363636,0.7792207792207793,32.0,91.24362860082903,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37677917584804,0.375,0.9259259259259259,0.9351851851851851,28.0,0.0,0.0
1,baseline,hot_block,10.0,0.5,9,59.867514812893766,0.7142857142857143,1.0,0.8246753246753247,32.0,91.24381246315504,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884060386,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,hot_block,10.0,0.5,9,59.86751481287948,0.7142857142857143,1.0,0.8246753246753247,32.0,91.2438124631453,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884065124,0.375,0.9259259259259259,0.9351851851851851,28.0,0.0,0.0
1,baseline,hot_block,10.0,0.6,9,57.90034820238762,0.7142857142857143,1.0,0.8181818181818181,32.0,91.23596227669071,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37683684603326,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,hot_block,10.0,0.6,9,57.90049679129504,0.7142857142857143,1.0,0.8116883116883117,32.0,91.24381435036614,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884063504,0.375,0.9259259259259259,0.9351851851851851,28.0,0.0,0.0
1,baseline,hot_block,10.0,0.8,9,43.88335226012871,1.0,1.0,0.7857142857142857,32.0,91.2631356693358,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37700734394616,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,hot_block,10.0,0.8,9,49.50686482487849,1.0,1.0,0.8116883116883117,32.0,91.24397160805124,0.42857142857142855,0.88,0.8914285714285713,32.0,129.3767688330567,0.375,0.9259259259259259,0.9351851851851851,28.0,1.0,1.0
1,baseline,hot_block,10.0,1.0,9,24.824098909250644,1.0,1.0,0.7467532467532467,32.0,91.24380478385143,0.42857142857142855,0.88,0.8914285714285713,32.0,129.3767688400505,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,hot_block,10.0,1.0,9,24.826282774867934,1.0,1.0,0.7467532467532467,32.0,91.22331362349604,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37677920981577,0.375,0.9259259259259259,0.9351851851851851,28.0,1.0,1.0
1,baseline,stripe,10.0,0.6,9,59.96528178560952,0.7142857142857143,1.0,0.7857142857142857,32.0,91.24381246056888,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884058268,0.375,0.9259259259259259,0.9351851851851851,28.0,,
1,rftl_s,stripe,10.0,0.6,9,59.96528178544046,0.7142857142857143,1.0,0.7857142857142857,32.0,91.24381246314965,0.42857142857142855,0.88,0.8914285714285713,32.0,129.37676884063086,0.375,0.9259259259259259,0.9351851851851851,28.0,0.0,0.0
2,clean,none,0.0,0.0,0,54.44919441621493,0.8571428571428571,0.9545454545454546,0.6623376623376623,32.0,93.92584687168477,0.375,0.875,0.8697916666666666,31.0,135.25886407771316,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,baseline,hot_block,10.0,0.3,9,72.98018893201792,0.14285714285714285,0.45454545454545453,0.7272727272727273,32.0,93.92416598291584,0.375,0.875,0.8697916666666666,31.0,135.25885288982937,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,rftl_s,hot_block,10.0,0.3,9,72.98018854054168,0.14285714285714285,0.45454545454545453,0.7272727272727273,32.0,93.92584687164205,0.375,0.875,0.8697916666666666,31.0,135.25886407773154,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,0.0,0.0
2,baseline,hot_block,10.0,0.4,9,68.47988517948448,0.2857142857142857,0.5909090909090909,0.7077922077922078,32.0,93.9258468716947,0.375,0.875,0.8697916666666666,31.0,135.25886407775977,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,rftl_s,hot_block,10.0,0.4,9,64.26887332269962,0.5714285714285714,0.6363636363636364,0.6948051948051949,32.0,93.92584687168375,0.375,0.875,0.8697916666666666,31.0,135.25886407780587,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,1.0,1.0
2,baseline,hot_block,10.0,0.5,9,61.72822252182279,0.5714285714285714,0.6818181818181818,0.6688311688311689,32.0,93.92584687165008,0.375,0.875,0.8697916666666666,31.0,135.25886407764222,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
2,rftl_s,hot_block,10.0,0.5,9,61.728222521788645,0.5714285714285714,0.6818181818181818,0.6688311688311689,32.0,93.92584687165095,0.375,0.875,0.8697916666666666,31.0,135.25886407768212,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,0.0,0.0
2,baseline,hot_block,10.0,0.6,9,61.74612768212823,0.5714285714285714,0.8181818181818182,0.7467532467532467,32.0,93.92586406025968,0.375,0.875,0.8697916666666666,31.0,135.25886407689734,0.2222222222222222,0.7692307692307693,0.9188034188034188,33.0,,
