method,mode,pi_s,huber_k,repeat,selected_rank,mape,median,q25,q75,mape_user0,median_user0,mape_user1,median_user1,mape_user2,median_user2,value
clean,none,0.0,,0,"[3, 3, 4]",0.07502886496537982,0.06775724367828406,0.03816621968323181,0.10135321329906183,0.06938341907618406,0.07192576772377374,0.08474558677892743,0.06483448008887627,0.07095758904102797,0.056713146809956386,
clean,none,0.0,,1,"[4, 4, 5]",0.0785056835107325,0.07168088783841828,0.04165754686076743,0.10544642911456037,0.08480870728534569,0.07267402801272266,0.07477421115402601,0.08600714577407835,0.0759341320928258,0.06683110487632764,
clean,none,0.0,,2,"[3, 3, 4]",0.06392584861809286,0.06157366265353106,0.03219315555912297,0.08652801831961693,0.05408764670036007,0.04564450288299405,0.06666766148802776,0.06389656205269395,0.07102223766589078,0.06523738798538514,
clean,none,0.0,,3,"[4, 4, 5]",0.03420237990538539,0.02512561353002114,0.014305601225389628,0.04642421585127298,0.03512893322709202,0.027672263172657984,0.03399212204744782,0.02512561353002114,0.0334860844416163,0.019057201358764653,
clean,none,0.0,,4,"[3, 3, 4]",0.0729197749380806,0.06117364001523301,0.030617964246401546,0.10006612439662416,0.07880295955077488,0.059980863714594775,0.07162727913182047,0.06761264166920535,0.06832908613164647,0.045618299653932846,
oracle,hot_block,0.3,,0,"[5, 5, 6]",0.2043484067927164,0.14495086529576526,0.06394569654184817,0.25911529296871233,0.30453245998635714,0.1404173318303439,0.14532423182985782,0.13453281620902288,0.16318852856193422,0.16094280219788928,
oracle,hot_block,0.3,,1,"[2, 2, 3]",0.2752893067472156,0.11997489252106255,0.05039136127218351,0.20113915259361423,0.5868078780538455,0.18144194531924385,0.11819106271983545,0.10586626936655052,0.1208689794679659,0.11086236838471725,
oracle,hot_block,0.3,,2,"[4, 4, 5]",0.09944580485911879,0.07669444703406894,0.043460074166297075,0.1290665147253624,0.11213260074180809,0.07669444703406894,0.08335644956976165,0.06542494891450139,0.10284836426578674,0.07776217950276046,
oracle,hot_block,0.3,,3,"[2, 2, 3]",0.08569844462340129,0.049345125521657346,0.03192369233377011,0.08779112134052677,0.15594874249023807,0.07079525919669571,0.03872136562012701,0.03539370818542869,0.062425225759838776,0.05394939990190131,
oracle,hot_block,0.3,,4,"[4, 4, 5]",0.18439624148125372,0.06930424943290879,0.022979676766300586,0.12278309504662387,0.4151655885816313,0.077398198576792,0.0723804552597268,0.06263781918162116,0.06564268060240307,0.06200197645034901,
baseline,hot_block,0.3,,0,"[4, 4, 5]",0.07598298601419809,0.05758776293485765,0.03315453864799875,0.09280073839300215,0.05791101387250012,0.054991201159740016,0.0786870497511001,0.04913585351141057,0.09135089441899412,0.0698895803499567,
baseline,hot_block,0.3,,1,"[3, 3, 4]",0.07626979648699038,0.07375843989011245,0.03282817888798757,0.10247537316251212,0.06268256324244069,0.04723825522547263,0.06696241798124958,0.06347989383291161,0.0991644082372809,0.07638411290555913,
baseline,hot_block,0.3,,2,"[3, 3, 4]",0.06237072699883461,0.04743654651794789,0.01899668239211287,0.08463732139414148,0.053509126308623145,0.04097917568365417,0.08026552359243058,0.06767408577973624,0.05333753109545011,0.04667099721924146,
